Game_Date,Pitcher,team,opponent,Target_Label,Projection,Actual_K,Projection_Headroom,Actual_Margin,Ladder_Win,Crusher_Event,Mega_Crusher_Event,Raw_Path_Target_Probability,Confidence,Data_Quality,Data_Quality_Bucket,Headroom_Bucket,Opponent_K_Bucket,Lineup_State,Weather_Risk,Leash_Label,Starter_Role,Production_Authority,Report_Only,Crusher_Version
2026-08-13,Logan Gilbert,SEA,NYY,5+,5.999279409012194,7.0,0.9992794090121944,2.0,True,True,False,0.7275879909526339,HIGH,78,75-89,0.75-0.99,MID_K_22-24.9,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-13,Max Fried,NYY,SEA,4+,4.8420928252218784,4.0,0.8420928252218784,0.0,True,False,False,0.7082613829048258,HIGH,65,50-74,0.75-0.99,MID_K_22-24.9,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-13,Andrew Abbott,CIN,CHW,4+,4.790875567489774,3.0,0.7908755674897741,-1.0,False,False,False,0.7165224071719605,HIGH,79,75-89,0.75-0.99,MID_K_22-24.9,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-13,Davis Martin,CHW,CIN,4+,4.709475301098596,3.0,0.7094753010985961,-1.0,False,False,False,0.669107548852125,HIGH,78,75-89,0.50-0.74,HIGH_K_25+,CONFIRMED,UNKNOWN,TIGHT,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-13,Payton Tolle,BOS,TOR,5+,5.411665879736916,4.0,0.4116658797369164,-1.0,False,False,False,0.6097360744311613,HIGH,72,50-74,0.25-0.49,LOW_K_<22,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-13,Max Scherzer,TOR,BOS,4+,4.002706076813793,4.0,0.0027060768137934232,0.0,True,False,False,0.5463234039919608,HIGH,70,50-74,0.00-0.24,LOW_K_<22,PROJECTED_OR_UNKNOWN,UNKNOWN,TIGHT,UNKNOWN,NONE,True,projection-crusher-v2-report-only
2026-08-13,Kevin Gausman,CHC,WSH,5+,5.1805625411540674,7.0,0.18056254115406745,2.0,True,True,False,0.5903111087172896,HIGH,70,50-74,0.00-0.24,LOW_K_<22,PROJECTED_OR_UNKNOWN,UNKNOWN,NORMAL,UNKNOWN,NONE,True,projection-crusher-v2-report-only
2026-08-13,Cade Cavalli,WSH,CHC,5+,5.284261858257167,10.0,0.28426185825716743,5.0,True,True,True,0.5813675657329586,HIGH,70,50-74,0.25-0.49,LOW_K_<22,PROJECTED_OR_UNKNOWN,UNKNOWN,NORMAL,UNKNOWN,NONE,True,projection-crusher-v2-report-only
2026-08-13,Aaron Nola,PHI,MIN,5+,5.058942410672682,9.0,0.05894241067268169,4.0,True,True,True,0.5790192879226238,HIGH,79,75-89,0.00-0.24,LOW_K_<22,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-13,Taj Bradley,MIN,PHI,5+,5.521771862741471,3.0,0.5217718627414714,-2.0,False,False,False,0.6462460529473355,HIGH,78,75-89,0.50-0.74,LOW_K_<22,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-13,Jacob deGrom,TEX,LAA,5+,5.515084930170935,3.0,0.5150849301709348,-2.0,False,False,False,0.6535327565062923,HIGH,77,75-89,0.50-0.74,MID_K_22-24.9,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-13,Walbert Ureña,LAA,TEX,4+,4.713297608881091,5.0,0.7132976088810912,1.0,True,False,False,0.6960994774421552,HIGH,72,50-74,0.50-0.74,MID_K_22-24.9,CONFIRMED,UNKNOWN,TIGHT,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-13,Shane Drohan,MIL,LAD,5+,5.09499132605994,5.0,0.0949913260599402,0.0,True,False,False,0.5818667447419064,HIGH,64,50-74,0.00-0.24,LOW_K_<22,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-13,Roki Sasaki,LAD,MIL,5+,5.157072926337631,2.0,0.15707292633763092,-3.0,False,False,False,0.5959729006262258,HIGH,74,50-74,0.00-0.24,MID_K_22-24.9,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-14,Matthew Liberatore,STL,CHC,4+,4.807385909419322,6.0,0.8073859094193221,2.0,True,True,False,0.7064333591636343,HIGH,78,75-89,0.75-0.99,MID_K_22-24.9,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-14,Clay Holmes,CHC,STL,4+,4.24889813214706,3.0,0.24889813214706002,-1.0,False,False,False,0.6216036923246964,HIGH,79,75-89,0.00-0.24,LOW_K_<22,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-14,Sandy Alcantara,MIA,CIN,5+,5.969322268750199,2.0,0.969322268750199,-3.0,False,False,False,0.723692119148748,HIGH,79,75-89,0.75-0.99,HIGH_K_25+,CONFIRMED,UNKNOWN,LONG,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-14,Chase Burns,CIN,MIA,5+,5.558449164509395,8.0,0.558449164509395,3.0,True,True,True,0.657260639762443,HIGH,77,75-89,0.50-0.74,LOW_K_<22,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
2026-08-14,Jake Bennett,BOS,PIT,5+,5.136651373886729,6.0,0.1366513738867292,1.0,True,False,False,0.59101235038534,HIGH,64,50-74,0.00-0.24,MID_K_22-24.9,CONFIRMED,UNKNOWN,NORMAL,ESTABLISHED,NONE,True,projection-crusher-v2-report-only
