Pitcher,Resolved_Calls,Ladder_Wins,Win_Rate,Crusher_Events,Crusher_Rate,Mega_Crusher_Events,Avg_Actual_Margin,Avg_Raw_Path_Target_Probability,Avg_Data_Quality,Production_Authority,Report_Only,Crusher_Version
Kyle Freeland,1,0,0.0,0,0.0,0,-3.0,0.6825386374169748,76.0,NONE,True,projection-crusher-v2-report-only
Matthew Boyd,1,0,0.0,0,0.0,0,-3.0,0.5929966086063977,65.0,NONE,True,projection-crusher-v2-report-only
Michael Lorenzen,1,0,0.0,0,0.0,0,-3.0,0.6060032692833557,79.0,NONE,True,projection-crusher-v2-report-only
Roki Sasaki,1,0,0.0,0,0.0,0,-3.0,0.5959729006262258,74.0,NONE,True,projection-crusher-v2-report-only
Sandy Alcantara,1,0,0.0,0,0.0,0,-3.0,0.723692119148748,79.0,NONE,True,projection-crusher-v2-report-only
Sean Burke,1,0,0.0,0,0.0,0,-3.0,0.6240310419855273,74.0,NONE,True,projection-crusher-v2-report-only
Shane Baz,1,0,0.0,0,0.0,0,-3.0,0.5819433961528153,78.0,NONE,True,projection-crusher-v2-report-only
Steven Matz,1,0,0.0,0,0.0,0,-3.0,0.607909998711427,62.0,NONE,True,projection-crusher-v2-report-only
Bryan King,1,0,0.0,0,0.0,0,-4.0,0.603973067218526,46.0,NONE,True,projection-crusher-v2-report-only
Gage Jump,1,0,0.0,0,0.0,0,-4.0,0.6732297911302467,65.0,NONE,True,projection-crusher-v2-report-only
Keider Montero,1,0,0.0,0,0.0,0,-4.0,0.6127918225051716,72.0,NONE,True,projection-crusher-v2-report-only
