Season,Leash,Metric,Evaluated_Starts,Global_v2_MAE,V23_MAE,V25_MAE,Global_v2_Bias,V23_Bias,V25_Bias,Relative_MAE_vs_Global_v2,Relative_MAE_vs_v23,V25_Adjusted_Starts,V25_Win_Share_vs_v23,Earned_TIGHT_Starts,Guarded_TIGHT_Starts,V25_Status,Candidate_Version
2025,LONG,BF,85,2.14262621251492,2.14262621251492,2.14262621251492,1.1319214559304058,1.1319214559304058,1.1319214559304058,0.0,0.0,0,,0,0,GUARDED,workload-v2.5-tight-metric-evidence-gate
2025,LONG,OUTS,85,2.6217231627731397,2.6217231627731397,2.6217231627731397,1.1720265535589514,1.1720265535589514,1.1720265535589514,0.0,0.0,0,,0,0,GUARDED,workload-v2.5-tight-metric-evidence-gate
2025,NORMAL,PITCHES,1515,7.866938257077709,7.866938257077709,7.866938257077709,1.4526439819394295,1.4526439819394295,1.4526439819394295,0.0,0.0,0,,0,0,GUARDED,workload-v2.5-tight-metric-evidence-gate
2025,NORMAL,BF,1515,2.4623866484821284,2.4623866484821284,2.4623866484821284,0.3677175121920381,0.3677175121920381,0.3677175121920381,0.0,0.0,0,,0,0,GUARDED,workload-v2.5-tight-metric-evidence-gate
2025,NORMAL,OUTS,1515,2.745258179359237,2.745258179359237,2.745258179359237,0.3125506611560298,0.3125506611560298,0.3125506611560298,0.0,0.0,0,,0,0,GUARDED,workload-v2.5-tight-metric-evidence-gate
2025,TIGHT,PITCHES,363,11.04172312621222,10.657428540465894,10.480047902362227,-4.044234198401924,-2.949083330988583,-2.0866898817047823,0.05086843941201705,0.016643849633160464,210,0.6047619047619047,210,153,HELPING,workload-v2.5-tight-metric-evidence-gate
2025,TIGHT,BF,363,3.0490566438839513,2.999241092110372,3.0037145219494787,-0.8136045587166721,-0.43249521424496745,-0.3498505861457939,0.014870869003179549,-0.0014915205886163892,60,0.48333333333333334,60,303,MIXED,workload-v2.5-tight-metric-evidence-gate
2025,TIGHT,OUTS,363,3.0364371107553323,2.9757722072931156,2.9763487119557475,-0.8274799253226665,-0.3959372850742955,-0.3037232660169207,0.019789113559028224,-0.00019373279353133963,67,0.5074626865671642,67,296,MIXED,workload-v2.5-tight-metric-evidence-gate
2026,LONG,PITCHES,46,7.4840504139472515,7.4840504139472515,7.4840504139472515,4.503235946562401,4.503235946562401,4.503235946562401,0.0,0.0,0,,0,0,GUARDED,workload-v2.5-tight-metric-evidence-gate
2026,LONG,BF,46,2.5520805515636438,2.5520805515636438,2.5520805515636438,0.4399461695739599,0.4399461695739599,0.4399461695739599,0.0,0.0,0,,0,0,GUARDED,workload-v2.5-tight-metric-evidence-gate
2026,LONG,OUTS,46,2.6443213386925697,2.6443213386925697,2.6443213386925697,-0.22271739101189728,-0.22271739101189728,-0.22271739101189728,0.0,0.0,0,,0,0,GUARDED,workload-v2.5-tight-metric-evidence-gate
2026,NORMAL,PITCHES,1520,8.252910524733894,8.252910524733894,8.252910524733894,1.1826502965313597,1.1826502965313597,1.1826502965313597,0.0,0.0,0,,0,0,GUARDED,workload-v2.5-tight-metric-evidence-gate
2026,NORMAL,BF,1520,2.581223679540283,2.581223679540283,2.581223679540283,0.20217230140043116,0.20217230140043116,0.20217230140043116,0.0,0.0,0,,0,0,GUARDED,workload-v2.5-tight-metric-evidence-gate
2026,NORMAL,OUTS,1520,2.7419110870111174,2.7419110870111174,2.7419110870111174,0.25406123197654856,0.25406123197654856,0.25406123197654856,0.0,0.0,0,,0,0,GUARDED,workload-v2.5-tight-metric-evidence-gate
2026,TIGHT,PITCHES,466,10.903717172562617,10.441725732784192,10.147505242748561,-4.179367785694821,-2.933917221255886,-1.929625375762324,0.06935358995893039,0.028177381552156478,312,0.6538461538461539,312,154,HELPING,workload-v2.5-tight-metric-evidence-gate
2026,TIGHT,BF,466,2.9753589487444834,2.9180004543152354,2.896279790223251,-0.7774626578869726,-0.48022580347299126,-0.19529415143768636,0.02657802298260565,0.007443680846541,312,0.5512820512820513,312,154,HELPING,workload-v2.5-tight-metric-evidence-gate
2026,TIGHT,OUTS,466,2.768366662830985,2.712677040250242,2.697027501050863,-0.6032143087204581,-0.30359691113010806,-0.07145364570589365,0.025769405020637487,0.0057690388377141695,312,0.5416666666666666,312,154,HELPING,workload-v2.5-tight-metric-evidence-gate
