game_date,game_pk,pitcher_id,player,team,opponent,Opponent_K_Rate,Opponent_K_Delta_PP,Matchup_PA,Lineup_State,Data_Quality,Quality_Band,Neutral_Opponent_Projection,Applied_Projection,Matchup_Adjustment_K,Actual_Strikeouts,Cap_K,Capped_Adjustment_K,Cap_Was_Binding,Capped_Projection,Applied_Absolute_Error,Capped_Absolute_Error,Neutral_Absolute_Error,Applied_Error,Capped_Error,Neutral_Error,Capped_Win_vs_Applied,Applied_Win_vs_Capped,Capped_Applied_Tie,Capped_Win_vs_Neutral,Neutral_Win_vs_Capped,Capped_Neutral_Tie,Evidence_Lane,Counts_For_Promotion,Report_Only,Production_Authority,Validation_Version
2026-08-14,822777,669456,Shane Bieber,TOR,NYY,0.2440258906288931,2.0025890628893124,2089.0,CONFIRMED,68,60–69,4.589155161331202,4.789902636901819,0.2007474755706173,5.0,0.1,0.1,True,4.689155161331201,0.21009736309818106,0.31084483866879875,0.4108448386687984,-0.21009736309818106,-0.31084483866879875,-0.4108448386687984,False,True,False,True,False,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-14,823185,607536,Kyle Freeland,COL,SFG,0.2448012631936205,2.0801263193620496,481.0,CONFIRMED,76,70–79,5.457687856723011,5.705471119678161,0.2477832629551501,2.0,0.1,0.1,True,5.55768785672301,3.705471119678161,3.5576878567230104,3.4576878567230107,3.705471119678161,3.5576878567230104,3.4576878567230107,True,False,False,False,True,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-14,822942,571927,Steven Matz,TBR,BAL,0.2611599085278673,3.71599085278673,818.0,CONFIRMED,62,60–69,3.942284333765032,4.256740631891617,0.3144562981265846,1.0,0.1,0.1,True,4.042284333765032,3.256740631891617,3.042284333765032,2.942284333765032,3.256740631891617,3.042284333765032,2.942284333765032,True,False,False,False,True,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-14,824968,695611,Gage Jump,ATH,TEX,0.2451995332115285,2.119953321152848,713.0,CONFIRMED,65,60–69,5.413117925395665,5.663479055047671,0.2503611296520063,1.0,0.1,0.1,True,5.513117925395664,4.663479055047671,4.513117925395664,4.413117925395665,4.663479055047671,4.513117925395664,4.413117925395665,True,False,False,False,True,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-15,824239,641743,Anthony Kay,CHW,DET,0.2298993930276515,0.5899393027651495,706.0,CONFIRMED,77,70–79,4.732247433744136,4.794158051567684,0.061910617823548,4.0,0.1,0.061910617823548,False,4.794158051567684,0.7941580515676838,0.7941580515676838,0.7322474337441358,0.7941580515676838,0.7941580515676838,0.7322474337441358,False,False,True,False,True,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-15,824239,675512,Troy Melton,DET,CHW,0.2317671596370065,0.7767159637006499,2499.0,CONFIRMED,64,60–69,5.26052684032373,5.350953547943936,0.0904267076202058,4.0,0.1,0.0904267076202058,False,5.350953547943936,1.350953547943936,1.350953547943936,1.2605268403237302,1.350953547943936,1.350953547943936,1.2605268403237302,False,False,True,False,True,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-15,824644,700241,Michael McGreevy,STL,CHC,0.2296724049815955,0.5672404981595547,2712.0,CONFIRMED,78,70–79,4.432697493513059,4.488471728532872,0.0557742350198129,6.0,0.1,0.0557742350198129,False,4.488471728532872,1.511528271467128,1.511528271467128,1.567302506486941,-1.511528271467128,-1.511528271467128,-1.567302506486941,False,False,True,True,False,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-15,822775,680755,Braydon Fisher,TOR,NYY,0.2433876440330708,1.9387644033070808,2119.0,CONFIRMED,56,<60,3.0282161532759413,3.1565460243819308,0.1283298711059894,0.0,0.1,0.1,True,3.1282161532759414,3.1565460243819308,3.1282161532759414,3.0282161532759413,3.1565460243819308,3.1282161532759414,3.0282161532759413,True,False,False,False,True,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-15,823184,657277,Logan Webb,SFG,COL,0.2292811687318266,0.528116873182663,2080.0,CONFIRMED,76,70–79,5.454468735505233,5.51839318904492,0.0639244535396867,7.0,0.1,0.0639244535396867,False,5.51839318904492,1.4816068109550802,1.4816068109550802,1.545531264494767,-1.4816068109550802,-1.4816068109550802,-1.545531264494767,False,False,True,True,False,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-15,822941,693855,Ian Seymour,TBR,BAL,0.2531342791309677,2.9134279130967693,791.0,CONFIRMED,65,60–69,5.079703854551221,5.399951571868048,0.3202477173168265,9.0,0.1,0.1,True,5.179703854551221,3.6000484281319522,3.820296145448779,3.920296145448779,-3.6000484281319522,-3.820296145448779,-3.920296145448779,False,True,False,True,False,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-15,824480,687473,Ryan Gusto,MIA,CIN,0.24735702548816,2.335702548815999,2250.0,CONFIRMED,79,70–79,4.312420323839072,4.531679633410276,0.2192593095712043,6.0,0.1,0.1,True,4.412420323839072,1.4683203665897242,1.587579676160928,1.6875796761609276,-1.4683203665897242,-1.587579676160928,-1.6875796761609276,False,True,False,True,False,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-15,824480,663903,Brady Singer,CIN,MIA,0.2356241731301588,1.1624173130158817,2145.0,CONFIRMED,78,70–79,5.09153549737101,5.221973800020474,0.1304383026494644,4.0,0.1,0.1,True,5.191535497371009,1.221973800020474,1.1915354973710093,1.0915354973710096,1.221973800020474,1.1915354973710093,1.0915354973710096,True,False,False,False,True,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-15,823990,677976,Randy Dobnak,KCR,LAA,0.2311314232678908,0.7131423267890818,1956.0,CONFIRMED,52,<60,4.551478674278121,4.623363071899023,0.0718843976209022,6.0,0.1,0.0718843976209022,False,4.623363071899023,1.376636928100977,1.376636928100977,1.4485213257218792,-1.376636928100977,-1.376636928100977,-1.4485213257218792,False,False,True,True,False,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
2026-08-15,824966,669022,MacKenzie Gore,TEX,ATH,0.2280466045071771,0.4046604507177115,701.0,CONFIRMED,79,70–79,5.677862005836641,5.728918305023873,0.0510562991872323,5.0,0.1,0.0510562991872323,False,5.728918305023873,0.728918305023873,0.728918305023873,0.6778620058366407,0.728918305023873,0.728918305023873,0.6778620058366407,False,False,True,False,True,False,DERIVATION_BACKTEST,False,True,NONE,opponent-matchup-boost-cap-shadow-v1
