game_date,captured_at_utc,Milestone,Actual_Hit,Prior_Eligible_Starts,Candidate_SIM_Weight,Candidate_MATH_Weight,Baseline_Probability,Candidate_Probability,Baseline_Brier,Candidate_Brier,Candidate_Won,Replay_Version
2026-08-14,2026-08-14T18:48:39.426868+00:00,5,0.0,43,0.4277777777777778,0.5722222222222222,0.42795444860956405,0.42707542451983443,0.183145010084716,0.1823934182287968,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T18:48:39.426868+00:00,6,0.0,43,0.4277777777777778,0.5722222222222222,0.26613277242187794,0.26480572843837136,0.07082665255695507,0.07012207381377648,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T18:48:39.426868+00:00,7,0.0,43,0.5722222222222222,0.4277777777777778,0.14959352901935613,0.15101001927211583,0.022378223924464945,0.022804025920564793,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T18:48:39.426868+00:00,8,0.0,43,0.5722222222222222,0.4277777777777778,0.07584512759022685,0.07691905360497187,0.005752483379177791,0.0059165408074845355,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T18:48:39.426868+00:00,9,0.0,43,0.4277777777777778,0.5722222222222222,0.035009952251556,0.03433538979900298,0.0012256967566562312,0.0011789189926494782,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T18:48:39.426868+00:00,10,0.0,43,0.4277777777777778,0.5722222222222222,0.01530027119072985,0.014864088140501941,0.0002340982985098778,0.00022094111624861045,True,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:09.335294+00:00,3,1.0,43,0.4277777777777778,0.5722222222222222,0.9199778589275529,0.9173746607726438,0.006403543061818624,0.0068269466824356796,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:09.335294+00:00,4,1.0,43,0.4277777777777778,0.5722222222222222,0.8120855740373347,0.8084810458427276,0.03531183148487801,0.0366795098014954,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:09.335294+00:00,5,1.0,43,0.4277777777777778,0.5722222222222222,0.657260639762443,0.6541320655059071,0.11747026905604989,0.11962462811121015,False,calibration-shadow-replay-v1
2026-08-14,2026-08-14T19:41:09.335294+00:00,6,1.0,43,0.4277777777777778,0.5722222222222222,0.4838273055316993,0.4821961385529447,0.26643425051466574,0.2681208389294812,False,calibration-shadow-replay-v1
