Season,Leash,Metric,Evaluated_Starts,Workload_v1_MAE,Global_v2_MAE,Tight_v22_MAE,Tight_v22_RMSE,Global_v2_Bias,Tight_v22_Bias,Relative_MAE_vs_Workload_v1,Relative_MAE_vs_Global_v2,Tight_Adjusted_Starts,Tight_Win_Share_vs_Workload_v1,Tight_Win_Share_vs_Global_v2,Tight_Status,Candidate_Version
2025,LONG,BF,66,2.056415840771652,2.1919946144015965,2.1919946144015965,2.7162463273155253,1.0257643556011082,1.0257643556011082,-0.06592964853794821,0.0,0,,,LEARNING,workload-v2.2-tight-only-candidate
2025,LONG,OUTS,66,2.5539568482877093,2.6040361676410737,2.6040361676410737,3.4995806469990134,1.1172256905841935,1.1172256905841935,-0.01960852212007415,0.0,0,,,LEARNING,workload-v2.2-tight-only-candidate
2025,NORMAL,PITCHES,1343,7.935282395775195,7.7882251360754635,7.7882251360754635,11.19861092294696,1.3784467403857876,1.3784467403857876,0.01853207641079361,0.0,0,,,LEARNING,workload-v2.2-tight-only-candidate
2025,NORMAL,BF,1343,2.4521121412674267,2.4415353271075677,2.4415353271075677,3.257511121269403,0.3431487492611904,0.3431487492611904,0.0043133484728769995,0.0,0,,,LEARNING,workload-v2.2-tight-only-candidate
2025,NORMAL,OUTS,1343,2.709901514313357,2.705532358369131,2.705532358369131,3.5552031317342845,0.27726950460366856,0.27726950460366856,0.0016122932590534064,0.0,0,,,LEARNING,workload-v2.2-tight-only-candidate
2025,TIGHT,PITCHES,311,11.651625466535833,11.170482004512822,10.705064013119577,13.891454631994396,-3.8434547318973147,-2.4319440892070054,0.0812385753502666,0.04166498734837213,280,0.6821428571428572,0.6714285714285714,HELPING,workload-v2.2-tight-only-candidate
2025,TIGHT,BF,311,3.1202691219885783,3.0610681106657767,3.002523200606263,3.9175338376433055,-0.7844816391782223,-0.2928583986725117,0.0377358223854981,0.019125647631140115,280,0.575,0.5607142857142857,HELPING,workload-v2.2-tight-only-candidate
2025,TIGHT,OUTS,311,3.15452663037399,3.11677943057084,3.030539319386419,3.875384550230326,-0.8665701658255052,-0.2662974207814953,0.039304569438005144,0.02766962279670395,280,0.5785714285714286,0.5714285714285714,HELPING,workload-v2.2-tight-only-candidate
2026,LONG,PITCHES,44,7.135816413625431,7.359800611276708,7.359800611276708,10.144772741831739,3.745503877941921,3.745503877941921,-0.03138872760565874,0.0,0,,,LEARNING,workload-v2.2-tight-only-candidate
2026,LONG,BF,44,2.5439952532047316,2.5692972965413023,2.5692972965413023,3.1356986771518134,0.2463112376082327,0.2463112376082327,-0.009945790309434393,0.0,0,,,LEARNING,workload-v2.2-tight-only-candidate
2026,LONG,OUTS,44,2.7739979825062377,2.7248814233048626,2.7248814233048626,3.626979539635542,-0.4405404403637443,-0.4405404403637443,0.01770605440635525,0.0,0,,,LEARNING,workload-v2.2-tight-only-candidate
2026,NORMAL,PITCHES,1254,8.760290715751225,8.702021639099298,8.702021639099298,12.73789441629474,0.9430591613364064,0.9430591613364064,0.006651500337443988,0.0,0,,,LEARNING,workload-v2.2-tight-only-candidate
2026,NORMAL,BF,1254,2.674924217305771,2.6512474126640333,2.6512474126640333,3.672248386573381,0.12537849285675434,0.12537849285675434,0.008851392681915076,0.0,0,,,LEARNING,workload-v2.2-tight-only-candidate
2026,NORMAL,OUTS,1254,2.8137405938053495,2.8057156319325522,2.8057156319325522,3.7469956481855533,0.13497174875067622,0.13497174875067622,0.0028520617325082298,0.0,0,,,LEARNING,workload-v2.2-tight-only-candidate
2026,TIGHT,PITCHES,361,11.369711103999132,11.208959036693116,10.410887320793181,13.58779124450535,-4.7728575459396705,-2.698436925505045,0.08433141127646578,0.071199449769368,330,0.706060606060606,0.703030303030303,HELPING,workload-v2.2-tight-only-candidate
2026,TIGHT,BF,361,2.9764259571173333,2.9306162815340087,2.865553462597929,3.7637940275842974,-0.7839412463412133,-0.47008371179717484,0.03725021086255548,0.022201070589160495,330,0.603030303030303,0.6181818181818182,HELPING,workload-v2.2-tight-only-candidate
