Season,Role,Metric,Starts,Adjusted_Starts,Baseline_MAE,Candidate_MAE,Baseline_RMSE,Candidate_RMSE,Baseline_Bias,Candidate_Bias,Relative_MAE,Win_Share,Status,Candidate_Version
2025,RAMPING,OUTS,39,37,3.0944198491589883,3.0039856837196446,3.906604510265517,3.7118107481432707,-1.8748554477364217,-1.3875131516774966,0.029224917705954537,0.6216216216216216,HELPING,starter-role-workload-v1-candidate
2025,LOW_RECENT_EXPOSURE,PITCHES,68,68,12.405082104925588,10.922516974588108,15.203695602769697,14.160749590746802,-7.585853163745835,-4.308587151283903,0.1195127221083696,0.75,HELPING,starter-role-workload-v1-candidate
2025,LOW_RECENT_EXPOSURE,BF,68,68,3.3405170286798658,3.0887456519536434,4.263810341446413,4.1429873558472226,-1.4006403501094038,-0.7250279892095495,0.07536898467053155,0.7058823529411765,HELPING,starter-role-workload-v1-candidate
2025,LOW_RECENT_EXPOSURE,OUTS,68,68,2.7810994185154967,2.695075259895666,3.4946354861111235,3.4339573275235677,-0.9698768643908793,-0.47369935538059876,0.030931709253942792,0.6029411764705882,HELPING,starter-role-workload-v1-candidate
2026,ESTABLISHED,PITCHES,1891,0,8.823694894398194,8.823694894398194,12.328276004476646,12.328276004476646,-0.4104450487294288,-0.4104450487294288,0.0,,LEARNING,starter-role-workload-v1-candidate
2026,ESTABLISHED,BF,1891,0,2.681137286829481,2.681137286829481,3.577668417016924,3.577668417016924,-0.21566092928397046,-0.21566092928397046,0.0,,LEARNING,starter-role-workload-v1-candidate
2026,ESTABLISHED,OUTS,1891,0,2.7501167181498842,2.7501167181498842,3.607382646705254,3.607382646705254,-0.13060547689572316,-0.13060547689572316,0.0,,LEARNING,starter-role-workload-v1-candidate
2026,RAMPING,PITCHES,66,66,9.744601146579862,8.766043531415367,11.746791175342638,10.90041571610395,-4.998986027849031,-2.01545780631949,0.10042048929913848,0.6818181818181818,HELPING,starter-role-workload-v1-candidate
2026,RAMPING,BF,66,66,2.834177509422614,2.622390675868563,3.628095166914649,3.3293715055077837,-1.664130516330168,-0.77207390345798,0.07472602998574937,0.6363636363636364,HELPING,starter-role-workload-v1-candidate
2026,RAMPING,OUTS,66,66,2.896089707676608,2.599451569499017,3.6368369565311376,3.400974316321624,-1.4433257982044299,-0.6358743593104323,0.10242712350770697,0.696969696969697,HELPING,starter-role-workload-v1-candidate
2026,LOW_RECENT_EXPOSURE,PITCHES,90,90,11.942160575223967,10.032516695872658,14.231701536020223,12.571623806481727,-7.258020896078494,-2.528635003616613,0.15990773757582763,0.7,HELPING,starter-role-workload-v1-candidate
2026,LOW_RECENT_EXPOSURE,BF,90,90,3.036842460222615,2.838745912524569,3.807964631495529,3.59274298384165,-1.4009713652005218,-0.4689459053174212,0.06523109127087372,0.6111111111111112,HELPING,starter-role-workload-v1-candidate
2026,LOW_RECENT_EXPOSURE,OUTS,90,90,2.833101199807712,2.6011046678659544,3.5375156575517472,3.3486340962727006,-1.3697031896241778,-0.6281284300692302,0.0818878379485715,0.6888888888888889,HELPING,starter-role-workload-v1-candidate
