game_date,game_pk,pitcher_id,player,team,team_id,catcher_id,catcher_name,catcher_source,catcher_confirmed,catcher_captured_at_utc,catcher_factor,candidate_authority,actual_strikeouts,actual_pitches,actual_batters_faced,actual_outs,capture_version
2026-08-13,824561,663436,Davis Martin,CHW,145,700337.0,Edgar Quero,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,3.0,35.0,11.0,6.0,catcher-context-v1-report-only
2026-08-13,823508,669302,Logan Gilbert,SEA,136,640902.0,Jhonny Pereda,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,7.0,95.0,22.0,18.0,catcher-context-v1-report-only
2026-08-13,822776,801139,Payton Tolle,BOS,111,657136.0,Connor Wong,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,4.0,91.0,26.0,24.0,catcher-context-v1-report-only
2026-08-13,823669,605400,Aaron Nola,PHI,143,592663.0,J.T. Realmuto,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,9.0,97.0,23.0,15.0,catcher-context-v1-report-only
2026-08-13,823669,671737,Taj Bradley,MIN,142,680777.0,Ryan Jeffers,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,3.0,89.0,23.0,12.0,catcher-context-v1-report-only
2026-08-13,823915,675660,Shane Drohan,MIL,158,661388.0,William Contreras,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,5.0,85.0,22.0,16.0,catcher-context-v1-report-only
2026-08-13,823995,594798,Jacob deGrom,TEX,140,642851.0,Austin Wynns,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,3.0,53.0,12.0,6.0,catcher-context-v1-report-only
2026-08-13,823995,700712,Walbert Ureña,LAA,108,694208.0,Moisés Ballesteros,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,5.0,100.0,23.0,18.0,catcher-context-v1-report-only
2026-08-13,823915,808963,Roki Sasaki,LAD,119,666163.0,Ben Rortvedt,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,2.0,101.0,25.0,18.0,catcher-context-v1-report-only
2026-08-14,823591,476594,Robert Stock,NYM,121,620443.0,Luis Torrens,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
2026-08-14,822777,669456,Shane Bieber,TOR,141,672386.0,Alejandro Kirk,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
2026-08-14,824159,663567,Peter Lambert,HOU,117,543877.0,Christian Vázquez,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
2026-08-14,823993,607625,Seth Lugo,KCR,118,,,UNAVAILABLE,False,,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
2026-08-14,823993,680570,Grayson Rodriguez,LAA,108,,,UNAVAILABLE,False,,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
2026-08-14,824968,677958,Kumar Rocker,TEX,140,,,UNAVAILABLE,False,,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
2026-08-14,823913,688107,Robert Gasser,MIL,158,,,UNAVAILABLE,False,,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
2026-08-14,823913,808967,Yoshinobu Yamamoto,LAD,119,,,UNAVAILABLE,False,,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
2026-08-14,823185,607536,Kyle Freeland,COL,115,,,UNAVAILABLE,False,,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
2026-08-14,823185,694738,Landen Roupp,SFG,137,,,UNAVAILABLE,False,,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
2026-08-14,824643,605280,Clay Holmes,CHC,112,608348.0,Carson Kelly,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
2026-08-14,824643,669461,Matthew Liberatore,STL,138,671056.0,Iván Herrera,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
2026-08-14,822942,571927,Steven Matz,TBR,139,689414.0,Liam Hicks,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
2026-08-14,824479,645261,Sandy Alcantara,MIA,146,691788.0,Joe Mack,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
2026-08-14,824237,656794,Sean Newcomb,CHW,145,691011.0,Drew Romo,MLB_POSTED_LINEUP,True,2026-08-14T20:24:02.042809+00:00,1.0,REPORT_ONLY,,,,,catcher-context-v1-report-only
