game_date,game_pk,pitcher_id,player,team,opponent,Prior_Resolved_Starts,Feature_Count,OOS_Eligible,Existing_Projection,ML_Shadow_Projection,SIM_Mean,MATH_Mean,Three_Path_Candidate,Three_Path_Eligible,Actual_Strikeouts,Existing_Absolute_Error,ML_Absolute_Error,Three_Path_Absolute_Error,Existing_Error,ML_Error,Three_Path_Error,Report_Only,Validation_Version
2026-08-15,824966,669022,MacKenzie Gore,TEX,ATH,76,34,True,5.728918305023873,4.990032760545115,,,,False,5.0,0.728918305023873,0.009967239454884869,,0.728918305023873,-0.009967239454884869,,True,ml-k-shadow-v1-report-only
2026-08-15,824644,571510,Matthew Boyd,CHC,STL,76,34,True,5.168619874051423,3.826144615236317,,,,False,2.0,3.168619874051423,1.8261446152363172,,3.168619874051423,1.8261446152363172,,True,ml-k-shadow-v1-report-only
2026-08-15,823184,547179,Michael Lorenzen,COL,SFG,76,34,True,4.173256011909386,3.435849193908554,,,,False,1.0,3.1732560119093858,2.435849193908554,,3.1732560119093858,2.435849193908554,,True,ml-k-shadow-v1-report-only
2026-08-15,824644,700241,Michael McGreevy,STL,CHC,76,34,True,4.488471728532872,3.1478454001782055,,,,False,6.0,1.511528271467128,2.8521545998217945,,-1.511528271467128,-2.8521545998217945,,True,ml-k-shadow-v1-report-only
2026-08-15,823990,677976,Randy Dobnak,KCR,LAA,76,34,True,4.623363071899023,6.2207121007993615,,,,False,6.0,1.376636928100977,0.22071210079936154,,-1.376636928100977,0.22071210079936154,,True,ml-k-shadow-v1-report-only
2026-08-15,823990,672282,Reid Detmers,LAA,KCR,76,34,True,5.304542788020525,4.7511831680422665,,,,False,11.0,5.695457211979475,6.2488168319577335,,-5.695457211979475,-6.2488168319577335,,True,ml-k-shadow-v1-report-only
2026-08-15,824480,687473,Ryan Gusto,MIA,CIN,76,34,True,4.531679633410276,4.008903566656894,,,,False,6.0,1.4683203665897242,1.991096433343106,,-1.4683203665897242,-1.991096433343106,,True,ml-k-shadow-v1-report-only
2026-08-15,823588,640455,Sean Manaea,NYM,WSH,76,34,True,5.368189786752298,7.038045147061402,,,,False,7.0,1.631810213247702,0.03804514706140161,,-1.631810213247702,0.03804514706140161,,True,ml-k-shadow-v1-report-only
2026-08-15,823347,543243,Sonny Gray,BOS,PIT,76,34,True,5.404713263895313,4.829040401760205,,,,False,7.0,1.5952867361046872,2.1709595982397953,,-1.5952867361046872,-2.1709595982397953,,True,ml-k-shadow-v1-report-only
2026-08-15,824239,675512,Troy Melton,DET,CHW,76,34,True,5.350953547943936,6.411439564659644,,,,False,4.0,1.350953547943936,2.411439564659644,,1.350953547943936,2.411439564659644,,True,ml-k-shadow-v1-report-only
