Season,Metric,Leash_Label,Evaluated_Starts,Baseline_MAE,Candidate_MAE,Relative_MAE_Improvement,Candidate_Win_Share,Baseline_Bias,Candidate_Bias,Sample_Gate,MAE_Gate,Win_Gate,Bias_Gate,Promotion_Cell,Reasons,Production_Authority,Report_Only,Validation_Version
2025,BF,NEUTRAL,1310,2.5531907936422384,2.5687925709326884,-0.006110697770531031,0.4580152671755725,-0.10622152762378748,-0.10917911833844877,True,False,False,False,CONTEXT_ONLY,mae|win_share|bias,NONE,True,team-leash-historical-v1
2025,BF,LONGER,426,2.556683956819854,2.563398547026276,-0.00262628870827431,0.5164319248826291,0.060721060665730214,0.5054722641002329,True,False,False,False,CONTEXT_ONLY,mae|win_share|bias,NONE,True,team-leash-historical-v1
2025,OUTS,ALL,2075,2.8368876286474944,2.863565058446777,-0.00940376683584091,0.4506024096385542,-0.07945402661254902,-0.045038573544169465,True,False,False,True,FAIL,mae|win_share,NONE,True,team-leash-historical-v1
2025,OUTS,TIGHTER,339,2.918468699944923,2.9975162291619193,-0.027085275651059018,0.36283185840707965,-0.6445170435957446,-0.963073601130366,True,False,False,False,CONTEXT_ONLY,mae|win_share|bias,NONE,True,team-leash-historical-v1
2025,OUTS,NEUTRAL,1310,2.7641041966075193,2.782467004060813,-0.006643312316457202,0.45648854961832064,-0.01938303224579157,0.002054666969001095,True,False,False,True,CONTEXT_ONLY,mae|win_share,NONE,True,team-leash-historical-v1
2025,OUTS,LONGER,426,2.995785076540782,3.0063561485246657,-0.0035286483221587494,0.5023474178403756,0.18548343849742951,0.5406931853278191,True,False,False,False,CONTEXT_ONLY,mae|win_share|bias,NONE,True,team-leash-historical-v1
2026,PITCHES,ALL,2278,8.966557986637385,9.091032167496627,-0.013882047162884801,0.45346795434591747,-0.7133182820981092,-0.6403888694084241,True,False,False,True,FAIL,mae|win_share,NONE,True,team-leash-historical-v1
2026,PITCHES,TIGHTER,407,10.000509553350536,10.539590008965364,-0.05390529879892132,0.3095823095823096,-1.3929710509435567,-2.9564456377415893,True,False,False,False,CONTEXT_ONLY,mae|win_share|bias,NONE,True,team-leash-historical-v1
2026,PITCHES,NEUTRAL,1425,8.878589431318506,8.930554470229936,-0.005852848508584843,0.4708771929824561,-0.8305038644838274,-0.7448670962185596,True,False,False,True,CONTEXT_ONLY,mae|win_share,NONE,True,team-leash-historical-v1
2026,PITCHES,LONGER,446,8.30408467649646,8.281878977198991,0.0026740694685254587,0.5291479820627802,0.28131878476230704,1.8069577178472738,True,False,False,False,CONTEXT_ONLY,mae|win_share|bias,NONE,True,team-leash-historical-v1
