game_date,game_pk,pitcher_id,player,team,opponent,Opponent_K_Rate,Opponent_K_Delta_PP,Opponent_K_Extremity,Matchup_PA,Matchup_PA_Band,Matchup_Batters,Lineup_State,Data_Quality,Quality_Band,Neutral_Opponent_Projection,Neutral_K_Projection_Level,Applied_Projection,Matchup_Adjustment_K,Reduction_Magnitude_K,Reduction_Magnitude_Band,Actual_Strikeouts,Weak_Reduce_Eligible,Neutralized_Projection,Applied_Absolute_Error,Neutralized_Absolute_Error,Applied_Error,Neutralized_Error,Neutralized_Win_vs_Applied,Applied_Win_vs_Neutralized,Neutralized_Applied_Tie,Evidence_Lane,Counts_For_Promotion,Report_Only,Production_Authority,Validation_Version
2026-08-19,823664,671737,Taj Bradley,MIN,ATL,0.2180299159068786,-0.5970084093121414,-0.25–0.99pp,2411.0,"2,000–2,999 PA",9.0,CONFIRMED,79,70–79,5.762226184821226,5.0–5.99 K,5.684919719738696,-0.0773064650825299,0.0773064650825299,<0.10 K,7.0,True,5.762226184821226,1.315080280261304,1.237773815178774,-1.315080280261304,-1.237773815178774,True,False,False,FORWARD_OOS,True,True,NONE,opponent-matchup-weak-reduce-neutral-shadow-v1
2026-08-19,823424,605400,Aaron Nola,PHI,MIA,0.2209592392160761,-0.3040760783923901,-0.25–0.99pp,2358.0,"2,000–2,999 PA",9.0,CONFIRMED,79,70–79,5.362509744188549,5.0–5.99 K,5.325987810486483,-0.0365219337020663,0.0365219337020663,<0.10 K,8.0,True,5.362509744188549,2.674012189513517,2.637490255811451,-2.674012189513517,-2.637490255811451,True,False,False,FORWARD_OOS,True,True,NONE,opponent-matchup-weak-reduce-neutral-shadow-v1
2026-08-19,824155,700712,Walbert Ureña,LAA,HOU,0.2168695539276605,-0.7130446072339425,-0.25–0.99pp,2540.0,"2,000–2,999 PA",9.0,CONFIRMED,74,70–79,4.781698988666106,4.0–4.99 K,4.70497713729241,-0.076721851373696,0.076721851373696,<0.10 K,7.0,True,4.781698988666106,2.29502286270759,2.218301011333894,-2.29502286270759,-2.218301011333894,True,False,False,FORWARD_OOS,True,True,NONE,opponent-matchup-weak-reduce-neutral-shadow-v1
2026-08-19,824318,808963,Roki Sasaki,LAD,COL,0.2161482231091788,-0.7851776890821199,-0.25–0.99pp,1687.0,"1,000–1,999 PA",9.0,CONFIRMED,76,70–79,4.8657982586973,4.0–4.99 K,4.779758171196984,-0.086040087500316,0.086040087500316,<0.10 K,6.0,True,4.8657982586973,1.2202418288030161,1.1342017413027001,-1.2202418288030161,-1.1342017413027001,True,False,False,FORWARD_OOS,True,True,NONE,opponent-matchup-weak-reduce-neutral-shadow-v1
2026-08-20,824474,663903,Brady Singer,CIN,STL,0.2145486590678912,-0.9451340932108782,-0.25–0.99pp,2123.0,"2,000–2,999 PA",9.0,CONFIRMED,79,70–79,5.084305195499701,5.0–5.99 K,4.975886953872402,-0.1084182416272989,0.1084182416272989,0.10–0.24 K,3.0,True,5.084305195499701,1.9758869538724024,2.0843051954997014,1.9758869538724024,2.0843051954997014,False,True,False,FORWARD_OOS,True,True,NONE,opponent-matchup-weak-reduce-neutral-shadow-v1
2026-08-20,822861,594798,Jacob deGrom,TEX,WSH,0.2213766392278281,-0.2623360772171845,-0.25–0.99pp,1527.0,"1,000–1,999 PA",9.0,CONFIRMED,78,70–79,5.153059258103594,5.0–5.99 K,5.122795537671218,-0.0302637204323765,0.0302637204323765,<0.10 K,10.0,True,5.153059258103594,4.877204462328782,4.846940741896406,-4.877204462328782,-4.846940741896406,True,False,False,FORWARD_OOS,True,True,NONE,opponent-matchup-weak-reduce-neutral-shadow-v1
2026-08-20,824153,680570,Grayson Rodriguez,LAA,HOU,0.2159680897916301,-0.803191020836988,-0.25–0.99pp,2315.0,"2,000–2,999 PA",9.0,CONFIRMED,64,60–69,4.4682462701042125,4.0–4.99 K,4.38740661645816,-0.080839653646052,0.080839653646052,<0.10 K,6.0,True,4.4682462701042125,1.6125933835418396,1.5317537298957875,-1.6125933835418396,-1.5317537298957875,True,False,False,FORWARD_OOS,True,True,NONE,opponent-matchup-weak-reduce-neutral-shadow-v1
2026-08-21,823746,694819,Jacob Misiorowski,MIL,ATL,0.2152145036210027,-0.8785496378997226,-0.25–0.99pp,2656.0,"2,000–2,999 PA",9.0,CONFIRMED,78,70–79,6.552797545552767,6.0+ K,6.423008680458235,-0.1297888650945324,0.1297888650945324,0.10–0.24 K,6.0,True,6.552797545552767,0.4230086804582349,0.5527975455527674,0.4230086804582349,0.5527975455527674,False,True,False,FORWARD_OOS,True,True,NONE,opponent-matchup-weak-reduce-neutral-shadow-v1
2026-08-21,824721,543243,Sonny Gray,BOS,SFG,0.2140815683827125,-0.9918431617287504,-0.25–0.99pp,1771.0,"1,000–1,999 PA",9.0,CONFIRMED,78,70–79,5.357568725050056,5.0–5.99 K,5.237612693677365,-0.1199560313726912,0.1199560313726912,0.10–0.24 K,6.0,True,5.357568725050056,0.7623873063226352,0.6424312749499439,-0.7623873063226352,-0.6424312749499439,True,False,False,FORWARD_OOS,True,True,NONE,opponent-matchup-weak-reduce-neutral-shadow-v1
2026-08-22,823743,701656,Logan Henderson,MIL,ATL,0.2181269723623897,-0.5873027637610301,-0.25–0.99pp,2541.0,"2,000–2,999 PA",9.0,CONFIRMED,62,60–69,5.34248571209711,5.0–5.99 K,5.271983542566202,-0.0705021695309078,0.0705021695309078,<0.10 K,4.0,True,5.34248571209711,1.2719835425662023,1.34248571209711,1.2719835425662023,1.34248571209711,False,True,False,FORWARD_OOS,True,True,NONE,opponent-matchup-weak-reduce-neutral-shadow-v1
