game_date,game_pk,pitcher_id,player,team,opponent,Opponent_K_Rate,Opponent_K_Delta_PP,Opponent_K_Extremity,Matchup_PA,Matchup_PA_Band,Matchup_Batters,Lineup_State,Data_Quality,Quality_Band,Neutral_Opponent_Projection,Neutral_K_Projection_Level,Applied_Projection,Matchup_Adjustment_K,Boost_Magnitude_Band,Actual_Strikeouts,Applied_Absolute_Error,Neutral_Absolute_Error,Applied_Error,Neutral_Error,Applied_Win,Neutral_Win,Tie,Applied_Overprediction,Neutral_Overprediction,Report_Only,Production_Authority,Validation_Version
2026-08-15,822775,680755,Braydon Fisher,TOR,NYY,0.2433876440330708,1.9387644033070808,+1.50–2.49pp,2119.0,"2,000–2,999 PA",9.0,CONFIRMED,56,<60,3.0282161532759413,<4.0 K,3.1565460243819308,0.1283298711059894,0.10–0.24 K,0.0,3.1565460243819308,3.0282161532759413,3.1565460243819308,3.0282161532759413,False,True,False,True,True,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-15,823184,657277,Logan Webb,SFG,COL,0.2292811687318266,0.528116873182663,+0.25–0.99pp,2080.0,"2,000–2,999 PA",9.0,CONFIRMED,76,70–79,5.454468735505233,5.0–5.99 K,5.51839318904492,0.0639244535396867,<0.10 K,7.0,1.4816068109550802,1.545531264494767,-1.4816068109550802,-1.545531264494767,True,False,False,False,False,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-15,822941,693855,Ian Seymour,TBR,BAL,0.2531342791309677,2.9134279130967693,+2.50pp+,791.0,"<1,000 PA",9.0,CONFIRMED,65,60–69,5.079703854551221,5.0–5.99 K,5.399951571868048,0.3202477173168265,0.25–0.39 K,9.0,3.600048428131952,3.920296145448779,-3.600048428131952,-3.920296145448779,True,False,False,False,False,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-15,824480,687473,Ryan Gusto,MIA,CIN,0.24735702548816,2.335702548815999,+1.50–2.49pp,2250.0,"2,000–2,999 PA",9.0,CONFIRMED,79,70–79,4.312420323839072,4.0–4.99 K,4.531679633410276,0.2192593095712043,0.10–0.24 K,6.0,1.4683203665897242,1.6875796761609283,-1.4683203665897242,-1.6875796761609283,True,False,False,False,False,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-15,824480,663903,Brady Singer,CIN,MIA,0.2356241731301588,1.1624173130158817,+1.00–1.49pp,2145.0,"2,000–2,999 PA",9.0,CONFIRMED,78,70–79,5.09153549737101,5.0–5.99 K,5.221973800020474,0.1304383026494644,0.10–0.24 K,4.0,1.221973800020474,1.0915354973710096,1.221973800020474,1.0915354973710096,False,True,False,True,True,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-15,823990,677976,Randy Dobnak,KCR,LAA,0.2311314232678908,0.7131423267890818,+0.25–0.99pp,1956.0,"1,000–1,999 PA",9.0,CONFIRMED,52,<60,4.551478674278121,4.0–4.99 K,4.623363071899023,0.0718843976209022,<0.10 K,6.0,1.376636928100977,1.4485213257218792,-1.376636928100977,-1.4485213257218792,True,False,False,False,False,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-15,824966,669022,MacKenzie Gore,TEX,ATH,0.2280466045071771,0.4046604507177115,+0.25–0.99pp,701.0,"<1,000 PA",9.0,CONFIRMED,79,70–79,5.677862005836641,5.0–5.99 K,5.728918305023873,0.0510562991872323,<0.10 K,5.0,0.728918305023873,0.6778620058366407,0.728918305023873,0.6778620058366407,False,True,False,True,True,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-16,822940,642547,Freddy Peralta,TBR,BAL,0.2427081959527378,1.8708195952737816,+1.50–2.49pp,1916.0,"1,000–1,999 PA",9.0,CONFIRMED,79,70–79,4.955167236879134,4.0–4.99 K,5.157942880566768,0.2027756436876338,0.10–0.24 K,2.0,3.157942880566768,2.9551672368791344,3.157942880566768,2.9551672368791344,False,True,False,True,True,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-16,823344,663776,Patrick Sandoval,BOS,PIT,0.2437886503734431,1.9788650373443104,+1.50–2.49pp,757.0,"<1,000 PA",9.0,CONFIRMED,53,<60,5.139341991466803,5.0–5.99 K,5.361548644646005,0.2222066531792021,0.10–0.24 K,6.0,0.638451355353995,0.8606580085331972,-0.638451355353995,-0.8606580085331972,True,False,False,False,False,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-16,822774,656302,Dylan Cease,TOR,NYY,0.2351468697157529,1.114686971575296,+1.00–1.49pp,2066.0,"2,000–2,999 PA",9.0,CONFIRMED,77,70–79,6.63486214486003,6.0+ K,6.797942636173971,0.1630804913139414,0.10–0.24 K,10.0,3.202057363826029,3.36513785513997,-3.202057363826029,-3.36513785513997,True,False,False,False,False,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-16,824236,623454,Drew Anderson,DET,CHW,0.2302129423398826,0.6212942339882593,+0.25–0.99pp,2561.0,"2,000–2,999 PA",9.0,CONFIRMED,50,<60,3.618714202627201,<4.0 K,3.6685559209445335,0.0498417183173325,<0.10 K,5.0,1.3314440790554665,1.381285797372799,-1.3314440790554665,-1.381285797372799,True,False,False,False,False,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-16,824477,691587,Eury Pérez,MIA,CIN,0.2423788731635306,1.83788731635306,+1.50–2.49pp,2031.0,"2,000–2,999 PA",9.0,CONFIRMED,76,70–79,5.487799333704637,5.0–5.99 K,5.708494599050562,0.2206952653459248,0.10–0.24 K,5.0,0.708494599050562,0.4877993337046371,0.708494599050562,0.4877993337046371,False,True,False,True,True,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-16,824642,690928,Hunter Dobbins,STL,CHC,0.2271734598291316,0.3173459829131586,+0.25–0.99pp,2680.0,"2,000–2,999 PA",9.0,CONFIRMED,70,70–79,4.508155211371206,4.0–4.99 K,4.539976940292121,0.0318217289209146,<0.10 K,7.0,2.460023059707879,2.4918447886287938,-2.460023059707879,-2.4918447886287938,True,False,False,False,False,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-16,824965,682052,Jacob Lopez,ATH,TEX,0.2376393557536326,1.3639355753632594,+1.00–1.49pp,706.0,"<1,000 PA",9.0,CONFIRMED,68,60–69,4.578179454953868,4.0–4.99 K,4.715502572247446,0.1373231172935778,0.10–0.24 K,6.0,1.2844974277525545,1.421820545046132,-1.2844974277525545,-1.421820545046132,True,False,False,False,False,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-16,823991,702070,Noah Cameron,KCR,LAA,0.2480854159188163,2.40854159188163,+1.50–2.49pp,694.0,"<1,000 PA",9.0,CONFIRMED,77,70–79,5.416346381202559,5.0–5.99 K,5.700107394222463,0.2837610130199035,0.25–0.39 K,8.0,2.2998926057775373,2.583653618797441,-2.2998926057775373,-2.583653618797441,True,False,False,False,False,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-17,822939,663556,Shane McClanahan,TBR,BAL,0.2491752900254052,2.517529002540528,+2.50pp+,783.0,"<1,000 PA",9.0,CONFIRMED,74,70–79,4.4240954590050405,4.0–4.99 K,4.666088442026614,0.2419929830215732,0.10–0.24 K,3.0,1.6660884420266138,1.4240954590050403,1.6660884420266138,1.4240954590050403,False,True,False,True,True,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-17,823343,664285,Framber Valdez,DET,PIT,0.2323345648273234,0.8334564827323476,+0.25–0.99pp,914.0,"<1,000 PA",9.0,CONFIRMED,79,70–79,5.138495804112034,5.0–5.99 K,5.233219003117307,0.0947231990052737,<0.10 K,5.0,0.2332190031173073,0.1384958041120336,0.2332190031173073,0.1384958041120336,False,True,False,True,True,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-17,824641,684007,Shota Imanaga,CHC,CHW,0.2323234418901656,0.832344189016565,+0.25–0.99pp,889.0,"<1,000 PA",9.0,CONFIRMED,79,70–79,5.22210944432129,5.0–5.99 K,5.318246670709621,0.0961372263883317,<0.10 K,10.0,4.681753329290379,4.77789055567871,-4.681753329290379,-4.77789055567871,True,False,False,False,False,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-17,824320,605483,Blake Snell,LAD,COL,0.2410676307093894,1.706763070938941,+1.50–2.49pp,865.0,"<1,000 PA",9.0,CONFIRMED,64,60–69,5.165468971515177,5.0–5.99 K,5.358647602224803,0.1931786307096255,0.10–0.24 K,5.0,0.3586476022248028,0.1654689715151773,0.3586476022248028,0.1654689715151773,False,True,False,True,True,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-17,824514,687273,Quinn Mathews,STL,CIN,0.2426701971652553,1.867019716525531,+1.50–2.49pp,675.0,"<1,000 PA",9.0,CONFIRMED,46,<60,5.18583301637125,5.0–5.99 K,5.397625398488667,0.2117923821174168,0.10–0.24 K,7.0,1.6023746015113334,1.8141669836287504,-1.6023746015113334,-1.8141669836287504,True,False,False,False,False,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-17,824478,669467,Andre Pallante,STL,CIN,0.2519924098671727,2.799240986717269,+2.50pp+,2635.0,"2,000–2,999 PA",13.0,PROJECTED/ROSTER,70,70–79,4.747618164973832,4.0–4.99 K,5.035533662626852,0.28791549765302,0.25–0.39 K,5.0,0.035533662626852,0.2523818350261679,0.035533662626852,-0.2523818350261679,True,False,False,True,False,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-18,824803,607074,Carlos Rodón,NYY,BAL,0.2532288058184542,2.9228805818454244,+2.50pp+,846.0,"<1,000 PA",9.0,CONFIRMED,79,70–79,5.281365024529709,5.0–5.99 K,5.61537454976998,0.3340095252402708,0.25–0.39 K,4.0,1.61537454976998,1.281365024529709,1.61537454976998,1.281365024529709,False,True,False,True,True,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-18,824803,669358,Shane Baz,BAL,NYY,0.2443381865349852,2.0338186534985203,+1.50–2.49pp,2170.0,"2,000–2,999 PA",9.0,CONFIRMED,79,70–79,5.184721428985547,5.0–5.99 K,5.414982918719831,0.2302614897342838,0.10–0.24 K,10.0,4.585017081280169,4.815278571014453,-4.585017081280169,-4.815278571014453,True,False,False,False,False,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-18,823341,672456,Keider Montero,DET,PIT,0.2388399289693152,1.4839928969315186,+1.00–1.49pp,1961.0,"1,000–1,999 PA",9.0,CONFIRMED,74,70–79,4.506305639492984,4.0–4.99 K,4.653182668769521,0.1468770292765366,0.10–0.24 K,3.0,1.6531826687695208,1.506305639492984,1.6531826687695208,1.506305639492984,False,True,False,True,True,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-18,824398,656492,Foster Griffin,CLE,SFG,0.2484994837249425,2.449948372494257,+1.50–2.49pp,423.0,"<1,000 PA",9.0,CONFIRMED,79,70–79,5.183658202753452,5.0–5.99 K,5.459779377135535,0.2761211743820837,0.25–0.39 K,6.0,0.5402206228644646,0.8163417972465483,-0.5402206228644646,-0.8163417972465483,True,False,False,False,False,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-18,824475,681517,Kyle Leahy,STL,CIN,0.2514447443843592,2.7444744384359203,+2.50pp+,2224.0,"2,000–2,999 PA",9.0,CONFIRMED,78,70–79,4.663000339515083,4.0–4.99 K,4.94040689536778,0.2774065558526972,0.25–0.39 K,6.0,1.0595931046322198,1.336999660484917,-1.0595931046322198,-1.336999660484917,True,False,False,False,False,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-18,823586,592662,Robbie Ray,SDP,NYM,0.2316103900666641,0.7610390066664169,+0.25–0.99pp,785.0,"<1,000 PA",9.0,CONFIRMED,78,70–79,4.8514450871538095,4.0–4.99 K,4.933170546179699,0.0817254590258897,<0.10 K,4.0,0.9331705461796992,0.8514450871538095,0.9331705461796992,0.8514450871538095,False,True,False,True,True,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-18,823749,682243,Bryce Miller,SEA,MIL,0.2299280301399021,0.5928030139902091,+0.25–0.99pp,2504.0,"2,000–2,999 PA",9.0,CONFIRMED,65,60–69,5.376236749177648,5.0–5.99 K,5.4469117040175,0.0706749548398519,<0.10 K,3.0,2.4469117040175004,2.3762367491776484,2.4469117040175004,2.3762367491776484,False,True,False,True,True,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-18,822859,800600,Jackson Kent,WSH,TEX,0.2485143545822505,2.4514354582250517,+1.50–2.49pp,736.0,"<1,000 PA",9.0,CONFIRMED,46,<60,4.379704447067351,4.0–4.99 K,4.6131389371797855,0.233434490112435,0.10–0.24 K,3.0,1.6131389371797855,1.3797044470673503,1.6131389371797855,1.3797044470673503,False,True,False,True,True,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-18,824639,592332,Kevin Gausman,CHC,CHW,0.2301277648672003,0.6127764867200375,+0.25–0.99pp,2602.0,"2,000–2,999 PA",9.0,CONFIRMED,79,70–79,5.42392970943327,5.0–5.99 K,5.497617917478005,0.0736882080447349,<0.10 K,5.0,0.4976179174780046,0.4239297094332697,0.4976179174780046,0.4239297094332697,False,True,False,True,True,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-18,824319,641778,Eric Lauer,LAD,COL,0.2482031276164885,2.4203127616488547,+1.50–2.49pp,851.0,"<1,000 PA",9.0,CONFIRMED,68,60–69,4.214312021920208,4.0–4.99 K,4.436150818968063,0.2218387970478552,0.10–0.24 K,6.0,1.5638491810319373,1.7856879780797923,-1.5638491810319373,-1.7856879780797923,True,False,False,False,False,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-19,823342,695549,Jackson Jobe,DET,PIT,0.2340887367743372,1.0088736774337277,+1.00–1.49pp,2207.0,"2,000–2,999 PA",9.0,CONFIRMED,62,60–69,4.412179057637437,4.0–4.99 K,4.510444868440044,0.0982658108026068,<0.10 K,3.0,1.510444868440044,1.4121790576374371,1.510444868440044,1.4121790576374371,False,True,False,True,True,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-19,824640,605280,Clay Holmes,CHC,CHW,0.2319221946651646,0.7922194665164611,+0.25–0.99pp,2597.0,"2,000–2,999 PA",9.0,CONFIRMED,79,70–79,4.405919379343309,4.0–4.99 K,4.483154365728499,0.0772349863851902,<0.10 K,1.0,3.483154365728499,3.4059193793433087,3.483154365728499,3.4059193793433087,False,True,False,True,True,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-19,824801,701542,Will Warren,NYY,BAL,0.2548278213025437,3.082782130254372,+2.50pp+,2300.0,"2,000–2,999 PA",9.0,CONFIRMED,78,70–79,5.019997927536065,5.0–5.99 K,5.35430306156303,0.3343051340269651,0.25–0.39 K,5.0,0.35430306156303,0.0199979275360648,0.35430306156303,0.0199979275360648,False,True,False,True,True,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-19,824801,605135,Chris Bassitt,BAL,NYY,0.2457296003453145,2.1729600345314517,+1.50–2.49pp,2199.0,"2,000–2,999 PA",9.0,CONFIRMED,79,70–79,4.530814938285171,4.0–4.99 K,4.745489881531514,0.2146749432463428,0.10–0.24 K,6.0,1.2545101184684864,1.4691850617148292,-1.2545101184684864,-1.4691850617148292,True,False,False,False,False,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-19,824394,800048,Parker Messick,CLE,SFG,0.2418164113785489,1.781641137854889,+1.50–2.49pp,649.0,"<1,000 PA",9.0,CONFIRMED,79,70–79,5.64599248374475,5.0–5.99 K,5.8662311594836645,0.2202386757389147,0.10–0.24 K,10.0,4.133768840516336,4.35400751625525,-4.133768840516336,-4.35400751625525,True,False,False,False,False,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-19,824476,669461,Matthew Liberatore,STL,CIN,0.2432119218317438,1.9211921831743808,+1.50–2.49pp,708.0,"<1,000 PA",9.0,CONFIRMED,79,70–79,4.8330562743105965,4.0–4.99 K,5.0360527737266665,0.20299649941607,0.10–0.24 K,9.0,3.9639472262733335,4.166943725689404,-3.9639472262733335,-4.166943725689404,True,False,False,False,False,True,NONE,opponent-matchup-boost-stress-v1-report-only
2026-08-19,822860,676917,Cade Cavalli,WSH,TEX,0.2300949677244176,0.6094967724417616,+0.25–0.99pp,2086.0,"2,000–2,999 PA",9.0,CONFIRMED,79,70–79,5.522361212857882,5.0–5.99 K,5.596987811813542,0.0746265989556604,<0.10 K,11.0,5.403012188186458,5.477638787142118,-5.403012188186458,-5.477638787142118,True,False,False,False,False,True,NONE,opponent-matchup-boost-stress-v1-report-only
