Pitcher,Resolved_Starts,Below_Projection_Count,Below_Projection_Rate,Mean_K_Residual,Median_K_Residual,Material_Underperform_Events,Material_Underperform_Rate,Underperformer_Status,Report_Only,Production_Authority,Research_Version
MacKenzie Gore,2,1,0.5,0.13810437947374155,0.13810437947374155,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Logan Gilbert,2,1,0.5,0.1416629197828554,0.1416629197828554,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Hayden Wesneski,2,1,0.5,0.2946460842366907,0.2946460842366907,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
J.T. Ginn,2,1,0.5,0.32454032678744227,0.32454032678744227,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Michael McGreevy,2,1,0.5,0.3406206172185664,0.3406206172185664,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Anthony Kay,2,1,0.5,0.34993627385261217,0.34993627385261217,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Randy Dobnak,2,1,0.5,0.42441687007697837,0.42441687007697837,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Luis Castillo,2,1,0.5,0.48226706906402184,0.48226706906402184,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Hunter Dobbins,2,1,0.5,0.5998026011002882,0.5998026011002882,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Robert Gasser,2,1,0.5,0.6155778534204499,0.6155778534204499,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Kevin Gausman,2,1,0.5,0.660909770683964,0.660909770683964,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Zack Wheeler,2,1,0.5,0.7496328305643591,0.7496328305643591,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Shane Baz,2,1,0.5,0.7541757415140973,0.7541757415140973,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Gerrit Cole,2,1,0.5,0.9729889740282003,0.9729889740282003,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Jacob deGrom,2,1,0.5,1.1810597660789237,1.1810597660789237,1,0.5,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Braxton Ashcraft,2,1,0.5,1.7016227146876641,1.7016227146876641,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Gavin Williams,2,1,0.5,2.172247273933378,2.172247273933378,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Reid Detmers,2,1,0.5,2.4499490235911483,2.4499490235911483,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Cristopher Sánchez,1,0,0.0,0.03663612785718762,0.03663612785718762,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Michael Soroka,1,0,0.0,0.36169500632233387,0.36169500632233387,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Patrick Sandoval,1,0,0.0,0.638451355353995,0.638451355353995,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Nick Martinez,1,0,0.0,0.7804626937848251,0.7804626937848251,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
Jake Bennett,1,0,0.0,0.8633486261132708,0.8633486261132708,0,0.0,LEARNING,True,NONE,projection-underperformer-shadow-v1-report-only
