Pitcher,Resolved_Starts,Beat_Projection_Count,Beat_Projection_Rate,Mean_K_Residual,Median_K_Residual,Material_Crusher_Events,Material_Crusher_Rate,Report_Only,Production_Authority,Research_Version
Parker Messick,2,2,1.0,2.2202597089014056,2.2202597089014056,1,0.5,True,NONE,projection-crusher-shadow-v1-report-only
Tyler Phillips,1,1,1.0,2.133607217584105,2.133607217584105,1,1.0,True,NONE,projection-crusher-shadow-v1-report-only
Christian Scott,1,1,1.0,2.1073788384389003,2.1073788384389003,1,1.0,True,NONE,projection-crusher-shadow-v1-report-only
George Klassen,2,2,1.0,2.0559197379661205,2.0559197379661205,1,0.5,True,NONE,projection-crusher-shadow-v1-report-only
J.T. Ginn,1,1,1.0,1.7444955934905835,1.7444955934905835,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Eric Lauer,2,2,1.0,1.701265551699013,1.701265551699013,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Sean Manaea,1,1,1.0,1.631810213247702,1.631810213247702,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Quinn Mathews,1,1,1.0,1.6023746015113334,1.6023746015113334,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Sonny Gray,1,1,1.0,1.5952867361046872,1.5952867361046872,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Jake Irvin,1,1,1.0,1.585615449163111,1.585615449163111,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Dean Kremer,1,1,1.0,1.567360680177174,1.567360680177174,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Logan Webb,1,1,1.0,1.4816068109550802,1.4816068109550802,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Ryan Gusto,1,1,1.0,1.4683203665897242,1.4683203665897242,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Cal Quantrill,2,2,1.0,1.4402015793057914,1.4402015793057914,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Shane Bieber,2,2,1.0,1.4192418293407614,1.4192418293407614,1,0.5,True,NONE,projection-crusher-shadow-v1-report-only
Hayden Wesneski,1,1,1.0,1.3603753985588627,1.3603753985588627,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Trevor Rogers,1,1,1.0,1.3462060186615794,1.3462060186615794,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Drew Anderson,1,1,1.0,1.3314440790554665,1.3314440790554665,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Kyle Leahy,2,2,1.0,1.3124106434945424,1.3124106434945424,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Walbert Ureña,2,2,1.0,1.2908626269132495,1.2908626269132495,1,0.5,True,NONE,projection-crusher-shadow-v1-report-only
Jacob Lopez,1,1,1.0,1.2844974277525543,1.2844974277525543,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Cam Schlittler,1,1,1.0,1.2346864319687398,1.2346864319687398,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
David Peterson,1,1,1.0,1.2064572708831136,1.2064572708831136,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Adrian Houser,1,1,1.0,1.175971597572667,1.175971597572667,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Tarik Skubal,1,1,1.0,1.1743465532220458,1.1743465532220458,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Robert Stock,2,2,1.0,1.144033310264931,1.144033310264931,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Grayson Rodriguez,2,2,1.0,1.0574431067161068,1.0574431067161068,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Connor Prielipp,1,1,1.0,0.9855063641641504,0.9855063641641504,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Justin Wrobleski,1,1,1.0,0.9594076988293283,0.9594076988293283,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Lake Bachar,1,1,1.0,0.9459784556708026,0.9459784556708026,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Cristian Javier,1,1,1.0,0.9199711300989595,0.9199711300989595,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Ethan Pecko,1,1,1.0,0.8762942868855199,0.8762942868855199,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Jake Bennett,1,1,1.0,0.8633486261132708,0.8633486261132708,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Logan Henderson,1,1,1.0,0.8334132309031013,0.8334132309031013,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Nick Martinez,1,1,1.0,0.7804626937848251,0.7804626937848251,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Patrick Sandoval,1,1,1.0,0.638451355353995,0.638451355353995,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Bubba Chandler,1,1,1.0,0.46682059337677995,0.46682059337677995,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Michael Soroka,1,1,1.0,0.36169500632233387,0.36169500632233387,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Cristopher Sánchez,1,1,1.0,0.03663612785718762,0.03663612785718762,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Gavin Williams,2,1,0.5,2.172247273933378,2.172247273933378,1,0.5,True,NONE,projection-crusher-shadow-v1-report-only
Braxton Ashcraft,2,1,0.5,1.7016227146876641,1.7016227146876641,1,0.5,True,NONE,projection-crusher-shadow-v1-report-only
Jacob deGrom,2,1,0.5,1.1810597660789237,1.1810597660789237,1,0.5,True,NONE,projection-crusher-shadow-v1-report-only
Gerrit Cole,2,1,0.5,0.9729889740282003,0.9729889740282003,1,0.5,True,NONE,projection-crusher-shadow-v1-report-only
Shane Baz,2,1,0.5,0.7541757415140973,0.7541757415140973,1,0.5,True,NONE,projection-crusher-shadow-v1-report-only
Zack Wheeler,2,1,0.5,0.7496328305643591,0.7496328305643591,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Kevin Gausman,2,1,0.5,0.660909770683964,0.660909770683964,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Robert Gasser,2,1,0.5,0.6155778534204499,0.6155778534204499,1,0.5,True,NONE,projection-crusher-shadow-v1-report-only
Luis Castillo,2,1,0.5,0.48226706906402184,0.48226706906402184,1,0.5,True,NONE,projection-crusher-shadow-v1-report-only
Randy Dobnak,2,1,0.5,0.42441687007697837,0.42441687007697837,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Anthony Kay,2,1,0.5,0.34993627385261217,0.34993627385261217,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Michael McGreevy,2,1,0.5,0.3406206172185664,0.3406206172185664,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Logan Gilbert,2,1,0.5,0.1416629197828554,0.1416629197828554,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Zac Thornton,2,1,0.5,0.07756287944749474,0.07756287944749474,1,0.5,True,NONE,projection-crusher-shadow-v1-report-only
Chris Bassitt,2,1,0.5,0.0768608550088068,0.0768608550088068,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Tyler Mahle,2,1,0.5,0.03537614327015781,0.03537614327015781,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Andrew Alvarez,2,1,0.5,-0.01144154758497784,-0.01144154758497784,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Andrew Abbott,2,1,0.5,-0.09995266031163075,-0.09995266031163075,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Rhett Lowder,2,1,0.5,-0.1818908697541941,-0.1818908697541941,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Payton Tolle,2,1,0.5,-0.2928098045416694,-0.2928098045416694,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Jackson Kent,2,1,0.5,-0.3001351947507489,-0.3001351947507489,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Taj Bradley,2,1,0.5,-0.6033457912400837,-0.6033457912400837,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Peter Lambert,2,1,0.5,-0.6676760023796735,-0.6676760023796735,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Foster Griffin,2,1,0.5,-0.9160717184585763,-0.9160717184585763,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Roki Sasaki,2,1,0.5,-0.9684155487673074,-0.9684155487673074,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Dustin May,2,1,0.5,-1.2860350171345667,-1.2860350171345667,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Kyle Freeland,2,1,0.5,-1.689769230516776,-1.689769230516776,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Eduardo Rodriguez,1,0,0.0,-0.0035752111797968666,-0.0035752111797968666,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Bryce Elder,1,0,0.0,-0.006204567084417967,-0.006204567084417967,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Bryan Woo,1,0,0.0,-0.016764836077239664,-0.016764836077239664,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Andre Pallante,1,0,0.0,-0.03553366262685209,-0.03553366262685209,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Hunter Brown,1,0,0.0,-0.07281672738434875,-0.07281672738434875,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Shane Drohan,1,0,0.0,-0.0949913260599402,-0.0949913260599402,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Ryan Johnson,1,0,0.0,-0.1194260457116112,-0.1194260457116112,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Jacob Misiorowski,1,0,0.0,-0.33777522229199874,-0.33777522229199874,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Blake Snell,1,0,0.0,-0.35864760222480285,-0.35864760222480285,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Paul Skenes,1,0,0.0,-0.44336649740909273,-0.44336649740909273,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Walker Buehler,1,0,0.0,-0.52204327956815,-0.52204327956815,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Bailey Ober,1,0,0.0,-0.5526924260745343,-0.5526924260745343,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Kent Emanuel,1,0,0.0,-0.6585340575481871,-0.6585340575481871,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Eury Pérez,1,0,0.0,-0.708494599050562,-0.708494599050562,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
MacKenzie Gore,1,0,0.0,-0.728918305023873,-0.728918305023873,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Max Fried,1,0,0.0,-0.8420928252218784,-0.8420928252218784,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Cody Bradford,1,0,0.0,-0.8457347921179457,-0.8457347921179457,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Kyle Bradish,2,0,0.0,-0.8697131471947319,-0.8697131471947319,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Michael King,2,0,0.0,-0.914888864275174,-0.914888864275174,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Tomoyuki Sugano,1,0,0.0,-0.9399266163000446,-0.9399266163000446,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Framber Valdez,2,0,0.0,-0.9796262174191384,-0.9796262174191384,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Robbie Ray,2,0,0.0,-0.9927477035727912,-0.9927477035727912,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Martín Pérez,1,0,0.0,-0.9979221975604622,-0.9979221975604622,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Jackson Jobe,2,0,0.0,-1.009758886504843,-1.009758886504843,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Will Warren,2,0,0.0,-1.092464790385677,-1.092464790385677,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Daniel Lynch IV,2,0,0.0,-1.1605163132894944,-1.1605163132894944,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Zebby Matthews,2,0,0.0,-1.187590214052698,-1.187590214052698,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Ryan Weathers,1,0,0.0,-1.1991569227585774,-1.1991569227585774,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
AJ Smith-Shawver,1,0,0.0,-1.2330271442072887,-1.2330271442072887,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Seth Lugo,2,0,0.0,-1.2612306340168162,-1.2612306340168162,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Drew Rasmussen,2,0,0.0,-1.301744290713882,-1.301744290713882,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Grant Holmes,2,0,0.0,-1.3072523182657,-1.3072523182657,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Troy Melton,1,0,0.0,-1.350953547943936,-1.350953547943936,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Max Scherzer,2,0,0.0,-1.4069053332523622,-1.4069053332523622,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Kumar Rocker,2,0,0.0,-1.4513401866924869,-1.4513401866924869,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Bryce Miller,2,0,0.0,-1.4651059947920464,-1.4651059947920464,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Landen Roupp,2,0,0.0,-1.5409061120481122,-1.5409061120481122,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Brady Singer,2,0,0.0,-1.5989303769464382,-1.5989303769464382,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Carlos Rodón,1,0,0.0,-1.6153745497699799,-1.6153745497699799,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Casey Mize,1,0,0.0,-1.6268563024798919,-1.6268563024798919,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Shane McClanahan,1,0,0.0,-1.6660884420266138,-1.6660884420266138,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Ryan Feltner,2,0,0.0,-1.6744250055017886,-1.6744250055017886,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Davis Martin,1,0,0.0,-1.7094753010985961,-1.7094753010985961,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Brandon Young,1,0,0.0,-1.7143342823678456,-1.7143342823678456,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Jack Perkins,2,0,0.0,-1.7292570553422042,-1.7292570553422042,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
José Soriano,2,0,0.0,-1.8000448005018415,-1.8000448005018415,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Carmen Mlodzinski,2,0,0.0,-1.8165517958717186,-1.8165517958717186,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Tanner Bibee,1,0,0.0,-1.9008208740195034,-1.9008208740195034,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Bryan Hudson,1,0,0.0,-1.9189015787531987,-1.9189015787531987,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Ranger Suarez,2,0,0.0,-1.925973768789356,-1.925973768789356,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Wandy Peralta,1,0,0.0,-1.9310115756037591,-1.9310115756037591,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Cade Gibson,1,0,0.0,-1.932904529638229,-1.932904529638229,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Michael Wacha,1,0,0.0,-1.9885483405826854,-1.9885483405826854,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Janson Junk,2,0,0.0,-2.0870568940515235,-2.0870568940515235,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Andrew Painter,1,0,0.0,-2.161655880868947,-2.161655880868947,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Mason Barnett,1,0,0.0,-2.215105119532577,-2.215105119532577,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Brady Basso,1,0,0.0,-2.2883440164111546,-2.2883440164111546,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Clay Holmes,2,0,0.0,-2.3660262489377795,-2.3660262489377795,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Merrill Kelly,2,0,0.0,-2.414899975639325,-2.414899975639325,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Nick Lodolo,1,0,0.0,-2.500722335947863,-2.500722335947863,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Edward Cabrera,1,0,0.0,-2.565164903313475,-2.565164903313475,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Nolan McLean,1,0,0.0,-2.6056516450475398,-2.6056516450475398,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
George Kirby,2,0,0.0,-2.726693051079811,-2.726693051079811,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Gabriel Hughes,1,0,0.0,-2.825934159552915,-2.825934159552915,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Brad Lord,1,0,0.0,-2.8440168524749634,-2.8440168524749634,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Keider Montero,2,0,0.0,-2.9339632909595545,-2.9339632909595545,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Sean Newcomb,2,0,0.0,-2.992721244433584,-2.992721244433584,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Jeffrey Springs,1,0,0.0,-3.03921984202886,-3.03921984202886,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Carson Whisenhunt,1,0,0.0,-3.140867861084864,-3.140867861084864,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Braydon Fisher,1,0,0.0,-3.1565460243819308,-3.1565460243819308,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Freddy Peralta,1,0,0.0,-3.157942880566768,-3.157942880566768,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Matthew Boyd,1,0,0.0,-3.168619874051423,-3.168619874051423,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Michael Lorenzen,1,0,0.0,-3.1732560119093858,-3.1732560119093858,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Steven Matz,1,0,0.0,-3.256740631891617,-3.256740631891617,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Gage Jump,2,0,0.0,-3.371824672597406,-3.371824672597406,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Sean Burke,1,0,0.0,-3.372787716023881,-3.372787716023881,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Blade Tidwell,1,0,0.0,-3.555084306412306,-3.555084306412306,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Alec Gamboa,1,0,0.0,-3.6899506432779363,-3.6899506432779363,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Sandy Alcantara,2,0,0.0,-4.0798421918414345,-4.0798421918414345,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Mitch Bratt,1,0,0.0,-4.223785431458687,-4.223785431458687,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Bryan King,1,0,0.0,-4.231113000659757,-4.231113000659757,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
Matt Wilkinson,1,0,0.0,-4.504782238807596,-4.504782238807596,0,0.0,True,NONE,projection-crusher-shadow-v1-report-only
