Game_Date,Pitcher,Pitcher_ID,Projection,K_Target,Target_Label,Projection_Headroom,Actual_K,Ladder_Win,Target_Probability,Brier,Confidence,Data_Quality,Opponent_K_Pct,Headroom_Bucket,Quality_Bucket,Opponent_K_Bucket,Report_Only,Production_Authority,No_Projection_Adjustment,Research_Version
2026-08-13,Davis Martin,663436,4.709475301098596,4,4+,0.7094753010985961,3.0,False,0.669107548852125,0.44770491193089884,HIGH,78,25.4054946668788,0.50-0.74,75-89,HIGH_K_25+,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-13,Payton Tolle,801139,5.411665879736916,5,5+,0.4116658797369164,4.0,False,0.6097360744311613,0.37177808046272265,HIGH,72,20.980292531640828,0.25-0.49,50-74,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-13,Max Scherzer,453286,4.002706076813793,4,4+,0.0027060768137934232,4.0,True,0.5463234039919608,0.20582245376544164,HIGH,70,20.724048762467675,0.00-0.24,50-74,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-13,Kevin Gausman,592332,5.1805625411540674,5,5+,0.18056254115406745,7.0,True,0.5903111087172896,0.16784498764045647,HIGH,70,20.10723860589812,0.00-0.24,50-74,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-13,Cade Cavalli,676917,5.284261858257167,5,5+,0.28426185825716743,10.0,True,0.5813675657329586,0.17525311502034877,HIGH,70,21.610169491525426,0.25-0.49,50-74,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-13,Aaron Nola,605400,5.058942410672682,5,5+,0.05894241067268169,9.0,True,0.5790192879226238,0.1772247599411747,HIGH,79,20.521429865001327,0.00-0.24,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-13,Taj Bradley,671737,5.521771862741471,5,5+,0.5217718627414714,3.0,False,0.6462460529473355,0.4176339609500104,HIGH,78,19.97362411884104,0.50-0.74,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-13,Jacob deGrom,594798,5.515084930170935,5,5+,0.5150849301709348,3.0,False,0.6535327565062923,0.4271050638267127,HIGH,77,22.25872780507947,0.50-0.74,75-89,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-13,Walbert Ureña,700712,4.713297608881091,4,4+,0.7132976088810912,5.0,True,0.6960994774421552,0.09235552761093116,HIGH,72,22.51886854059686,0.50-0.74,50-74,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-13,Shane Drohan,675660,5.09499132605994,5,5+,0.0949913260599402,5.0,True,0.5818667447419064,0.1748354191527301,HIGH,64,20.67927960976489,0.00-0.24,50-74,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-13,Roki Sasaki,808963,5.157072926337631,5,5+,0.15707292633763092,2.0,False,0.5959729006262258,0.3551836982808372,HIGH,74,22.323435361122325,0.00-0.24,50-74,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Matthew Liberatore,669461,4.807385909419322,4,4+,0.8073859094193221,6.0,True,0.7064333591636343,0.08618137261194776,HIGH,78,22.15184456831837,0.75-0.99,75-89,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Clay Holmes,605280,4.24889813214706,4,4+,0.24889813214706002,3.0,False,0.6216036923246964,0.3863911503116958,HIGH,79,19.97288901159887,0.00-0.24,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Sandy Alcantara,645261,5.969322268750199,5,5+,0.969322268750199,2.0,False,0.723692119148748,0.5237302833180056,HIGH,79,25.52687178603017,0.75-0.99,75-89,HIGH_K_25+,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Chase Burns,695505,5.558449164509395,5,5+,0.558449164509395,8.0,True,0.657260639762443,0.11747026905604989,HIGH,77,21.79597160509253,0.50-0.74,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Jake Bennett,687562,5.136651373886729,5,5+,0.1366513738867292,6.0,True,0.59101235038534,0.16727089753732394,HIGH,64,22.93411645468545,0.00-0.24,50-74,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Bubba Chandler,696149,4.53317940662322,4,4+,0.53317940662322,5.0,True,0.6674672199400904,0.11057804981437222,HIGH,77,20.207919121438696,0.50-0.74,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Sean Newcomb,656794,4.293658542998768,4,4+,0.29365854299876837,2.0,False,0.6142416585560155,0.3772928151056448,MEDIUM,53,22.464061154188627,0.25-0.49,50-74,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Jackson Jobe,695549,4.509072904569642,4,4+,0.509072904569642,4.0,True,0.6662095889008485,0.11141603854174058,HIGH,60,23.167521097812813,0.50-0.74,50-74,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Andrew Alvarez,674841,4.411414403822503,4,4+,0.41141440382250316,4.0,True,0.6511952768137343,0.1216647349170474,HIGH,65,22.29864514301804,0.25-0.49,50-74,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Robert Stock,476594,4.350693049617538,4,4+,0.3506930496175382,5.0,True,0.6363997033107749,0.13220517575249252,MEDIUM,47,20.467410528285704,0.25-0.49,<50,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Michael King,650633,4.756564500312371,4,4+,0.7565645003123711,4.0,True,0.7099204591627534,0.08414614001234784,HIGH,79,19.155603612059853,0.75-0.99,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Gavin Williams,668909,5.778883370854544,5,5+,0.778883370854544,5.0,True,0.684890322060145,0.09929410913135914,HIGH,79,20.330232778384666,0.75-0.99,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Brandon Pfaadt,694297,4.695923424536369,4,4+,0.6959234245363692,7.0,True,0.6943283368934432,0.09343516562632836,HIGH,79,21.612755374421035,0.50-0.74,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Gerrit Cole,543037,5.1837125225898735,5,5+,0.18371252258987347,5.0,True,0.5847128741500884,0.17246339689668028,HIGH,65,18.69173244256435,0.00-0.24,50-74,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Shane Bieber,669456,4.789902636901819,4,4+,0.7899026369018189,5.0,True,0.7055546147953903,0.086698084868291,HIGH,68,24.402589062889312,0.75-0.99,50-74,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,George Kirby,669923,5.055233311872689,5,5+,0.05523331187268887,2.0,False,0.5766702881538788,0.3325486212394776,HIGH,77,21.338994807369552,0.00-0.24,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Peter Lambert,663567,4.964871980644212,4,4+,0.9648719806442116,6.0,True,0.7413753498905093,0.06688670964425646,HIGH,74,19.690092929731883,0.75-0.99,50-74,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Seth Lugo,607625,4.862892118380245,4,4+,0.8628921183802447,4.0,True,0.7248627023810422,0.07570053254106295,HIGH,79,22.21333703669492,0.75-0.99,75-89,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Grayson Rodriguez,680570,4.497707170109626,4,4+,0.49770717010962606,5.0,True,0.6519494865601498,0.12113915990574332,HIGH,62,21.24778909785245,0.25-0.49,50-74,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Kumar Rocker,677958,4.395781761680474,4,4+,0.39578176168047374,3.0,False,0.6445505560480466,0.41544541930184603,HIGH,74,19.444362526494164,0.25-0.49,50-74,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Robert Gasser,688107,4.7466171474424845,4,4+,0.7466171474424845,7.0,True,0.7059053025245983,0.08649169108314807,HIGH,64,21.41393421271099,0.50-0.74,50-74,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Yoshinobu Yamamoto,808967,5.946600628694665,5,5+,0.9466006286946653,9.0,True,0.7195320065796726,0.07866229533322479,HIGH,76,22.3038949326692,0.75-0.99,75-89,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Kyle Freeland,607536,5.705471119678161,5,5+,0.7054711196781609,2.0,False,0.6825386374169748,0.46585899156702065,HIGH,76,24.48012631936205,0.50-0.74,75-89,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Landen Roupp,694738,5.18952142514298,5,5+,0.18952142514298043,5.0,True,0.5985427150297761,0.16116795165566358,HIGH,78,21.802137374731466,0.00-0.24,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Chris Sale,519242,5.485459497169694,5,5+,0.4854594971696944,9.0,True,0.6469035342731773,0.1246771141087733,HIGH,76,18.856924272379217,0.25-0.49,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Chris Bassitt,605135,4.100788408450873,4,4+,0.10078840845087278,3.0,False,0.574144754397713,0.32964219900241015,HIGH,79,18.555504839606428,0.00-0.24,75-89,LOW_K_<22,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Steven Matz,571927,4.256740631891617,4,4+,0.256740631891617,1.0,False,0.607909998711427,0.36955456653332724,HIGH,62,26.11599085278673,0.25-0.49,50-74,HIGH_K_25+,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-14,Gage Jump,695611,5.663479055047671,5,5+,0.663479055047671,1.0,False,0.6732297911302467,0.45323835166527565,HIGH,65,24.519953321152848,0.50-0.74,50-74,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
2026-08-15,Anthony Kay,641743,4.794158051567684,4,4+,0.7941580515676838,4.0,True,0.7167115547140409,0.08025234323253584,HIGH,77,22.98993930276515,0.75-0.99,75-89,MID_K_22-24.9,True,NONE,True,k-ladder-reliability-shadow-v1-report-only
