game_date,game_pk,pitcher_id,player,team,opponent,Lineup_Source,Lineup_Confirmed,Lineup_Batters,Lineup_Hash,Lineup_Captured_At_UTC,Game_Time_UTC,Resolved_At_UTC,Lineage,Outcome_Lineage,Authentic_Pregame_Pair,Prior_Paired_Starts,OOS_Eligible,Preconfirm_Projection,Confirmed_Projection,Projection_Delta,Opponent_K_Delta,Projection_Delta_Direction,Projection_Delta_Band,Data_Quality,Quality_Band,Starter_History_Games,Starter_History_Band,Actual_Strikeouts,Preconfirm_Absolute_Error,Confirmed_Absolute_Error,Preconfirm_Error,Confirmed_Error,Confirmed_Win,Confirmed_Loss,Report_Only,Production_Authority,Validation_Version
2026-08-09,825050,593958,Eduardo Rodriguez,ARI,LAD,nan,False,,nan,,2026-08-09 20:10:00+00:00,2026-08-12 04:28:04.808035+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,4.106582747642617,,,UNKNOWN,UNKNOWN,100,90+,,UNKNOWN,9.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-09,823104,676106,Emerson Hancock,SEA,TBR,nan,False,,nan,,2026-08-09 20:10:00+00:00,2026-08-12 04:28:04.891378+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.630693199666524,,,UNKNOWN,UNKNOWN,100,90+,,UNKNOWN,3.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-10,823268,664299,Cristian Javier,HOU,SDP,nan,False,,nan,,2026-08-10 00:20:00+00:00,2026-08-12 04:28:04.972612+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,3.288258640376794,,,UNKNOWN,UNKNOWN,55,<60,,UNKNOWN,2.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-10,822780,543243,Sonny Gray,BOS,TOR,nan,False,,nan,,2026-08-10 23:07:00+00:00,2026-08-12 04:28:04.988940+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.85339296825625,,,UNKNOWN,UNKNOWN,66,60–69,,UNKNOWN,4.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-10,822780,592791,Jameson Taillon,TOR,BOS,nan,False,,nan,,2026-08-10 23:07:00+00:00,2026-08-12 04:28:05.004226+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.006707153899977,,,UNKNOWN,UNKNOWN,59,<60,,UNKNOWN,3.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-10,824887,681035,Christian Scott,NYM,ATL,nan,False,,nan,,2026-08-10 23:15:00+00:00,2026-08-12 04:28:05.088098+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.304480365121831,,,UNKNOWN,UNKNOWN,59,<60,,UNKNOWN,6.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-10,824887,693821,Bryce Elder,ATL,NYM,nan,False,,nan,,2026-08-10 23:15:00+00:00,2026-08-12 04:28:05.108138+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.464677018272788,,,UNKNOWN,UNKNOWN,68,60–69,,UNKNOWN,4.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-10,823675,669432,Trevor Rogers,BAL,MIN,nan,False,,nan,,2026-08-10 23:40:00+00:00,2026-08-12 04:28:05.190549+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.192782352389666,,,UNKNOWN,UNKNOWN,66,60–69,,UNKNOWN,4.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-10,823675,665152,Dean Kremer,MIN,BAL,nan,False,,nan,,2026-08-10 23:40:00+00:00,2026-08-12 04:28:05.208979+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,5.250535735853633,,,UNKNOWN,UNKNOWN,47,<60,,UNKNOWN,7.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
2026-08-10,823018,691725,Andrew Painter,PHI,STL,nan,False,,nan,,2026-08-10 23:45:00+00:00,2026-08-12 04:28:05.284106+00:00,UNCONFIRMED,RESOLVED_AFTER_START,False,0,False,,4.867863467256942,,,UNKNOWN,UNKNOWN,59,<60,,UNKNOWN,6.0,,,,,False,False,True,NONE,lineup-k-walkforward-v2-lineage-safe-report-only
