game_pk,game_date,pitcher_id,player,team,opponent,venue,game_time,captured_at_utc,app_version,projection,k_sd,k_range_low,k_range_high,confidence,data_quality,simulation_draws,opponent_k_pct,pitch_limit,umpire_k_factor,weather_factor,rest_factor,actual_strikeouts,resolved_at_utc,sim_3p,math_3p,sim_4p,math_4p,sim_5p,math_5p,sim_6p,math_6p,sim_7p,math_7p,sim_8p,math_8p,sim_9p,math_9p,sim_10p,math_10p,probability_semantics
823018,2026-08-10,690928,Hunter Dobbins,STL,PHI,Busch Stadium,2026-08-10T23:45:00Z,2026-08-10T14:18:14.579874+00:00,3.2.0,5.30392211011003,1.6360221981037313,3,8,Medium,47,25000,22.4,92.0,1.0,1.0,1.0,6.0,2026-08-11T04:10:33.541406+00:00,0.78612,0.7745651804092779,0.62472,0.6106028606202056,0.44352,0.4368187644624364,0.28016,0.283269052718382,0.15664,0.1669380734838884,0.08028,0.0897937539684623,0.0352,0.0443039483229179,0.01416,0.0201537474447968,
823998,2026-08-10,669022,MacKenzie Gore,TEX,LAA,Angel Stadium,2026-08-11T01:38:00Z,2026-08-10T14:18:14.644820+00:00,3.2.0,5.624407650667284,2.23440389381403,3,9,High,70,25000,22.4,92.0,1.0,1.0,1.0,9.0,2026-08-11T04:10:33.549351+00:00,0.8232,0.8092364313336815,0.66964,0.657787510696578,0.50028,0.4882203934775477,0.33708,0.3299593286564135,0.20516,0.2033114456570862,0.11372,0.1146023832161164,0.0584,0.0593534842246936,0.02612,0.0283750232364504,
823998,2026-08-10,672282,Reid Detmers,LAA,TEX,Angel Stadium,2026-08-11T01:38:00Z,2026-08-10T14:18:14.706342+00:00,3.2.0,5.557311396164571,2.358151465639186,3,8,High,70,25000,22.4,92.0,1.0,1.0,1.0,6.0,2026-08-11T04:10:33.558560+00:00,0.83104,0.7813129435453194,0.67388,0.6311214371707545,0.4908,0.47114363883416,0.32012,0.3254123065970808,0.18456,0.208711218464191,0.09308,0.1248985018693676,0.04172,0.0700910183102054,0.01668,0.0370681845288799,
825048,2026-08-10,687312,Gabriel Hughes,COL,ARI,Chase Field,2026-08-11T01:40:00Z,2026-08-10T14:18:14.764250+00:00,3.2.0,5.250276943021297,2.4346838612477324,2,8,Medium,44,25000,22.4,92.0,1.0,1.0,1.0,3.0,2026-08-11T04:10:33.567668+00:00,0.77292,0.730849292112159,0.60788,0.5743749219338234,0.43304,0.4189835349916875,0.27648,0.2848076526227092,0.1636,0.1813723837514934,0.08552,0.1088166673712706,0.04104,0.0618399859213606,0.0174,0.0334541438165387,
825048,2026-08-10,647336,Michael Soroka,ARI,COL,Chase Field,2026-08-11T01:40:00Z,2026-08-10T14:18:14.841092+00:00,3.2.0,5.371681731681046,2.6590625547207845,2,9,Medium,58,25000,22.4,92.0,1.0,1.0,1.0,4.0,2026-08-11T04:10:33.578163+00:00,0.77264,0.7143324101973815,0.62136,0.5697095004789257,0.45452,0.4291782427063531,0.3066,0.3069411420324764,0.18868,0.2095126445207187,0.10496,0.1371755834496216,0.05324,0.0865388973127667,0.0248,0.0528124315304096,
824969,2026-08-10,642547,Freddy Peralta,TBR,ATH,Sutter Health Park,2026-08-11T01:40:00Z,2026-08-10T14:18:14.899018+00:00,3.2.0,4.938676905318523,2.05547409282923,2,8,High,70,25000,22.4,92.0,1.0,1.0,1.0,5.0,2026-08-11T04:10:33.586389+00:00,0.74612,0.723471949290528,0.5658,0.5454263850222026,0.37892,0.3702492944000691,0.22156,0.2265610631654994,0.11308,0.1254968940904438,0.05172,0.0632725810072557,0.02036,0.0292043758770658,0.00676,0.0124101652474224,
824969,2026-08-10,682052,Jacob Lopez,ATH,TBR,Sutter Health Park,2026-08-11T01:40:00Z,2026-08-10T14:18:14.964671+00:00,3.2.0,4.5054350900288185,2.376066235082012,2,8,High,62,25000,22.4,92.0,1.0,1.0,1.0,5.0,2026-08-11T04:10:33.594259+00:00,0.65144,0.6133599674763183,0.47052,0.4485864161016093,0.30472,0.305382888082064,0.18596,0.194985094301677,0.10128,0.1176195944288662,0.05052,0.0674717946833,0.02248,0.0370177390599922,0.01028,0.0195200535222814,
823265,2026-08-10,701656,Logan Henderson,MIL,SDP,Petco Park,2026-08-11T01:40:00Z,2026-08-10T14:18:14.994206+00:00,3.2.0,5.815127024768502,2.183719897293819,3,9,Medium,50,25000,22.4,92.0,1.0,1.0,1.0,7.0,2026-08-11T04:10:33.603484+00:00,0.8438,0.8307328508425896,0.70108,0.6884135122389778,0.53072,0.5231413466886943,0.36484,0.36315505201379,0.22412,0.2303705091912344,0.12668,0.1339101777559092,0.06316,0.0716047548446754,0.02912,0.0353742978699927,
823265,2026-08-10,663554,Casey Mize,SDP,MIL,Petco Park,2026-08-11T01:40:00Z,2026-08-10T14:18:15.050218+00:00,3.2.0,5.608395848331307,2.285984753686485,3,9,Medium,60,25000,22.4,92.0,1.0,1.0,1.0,6.0,2026-08-11T04:10:33.611509+00:00,0.82124,0.8077918982748955,0.67284,0.655768873802324,0.49708,0.4859629457594838,0.3304,0.3278548976543271,0.20128,0.2016293775016264,0.11132,0.1134255926113722,0.05448,0.0586214339940954,0.0246,0.0279650423173291,
823189,2026-08-10,669713,Hayden Wesneski,HOU,SFG,Oracle Park,2026-08-11T01:45:00Z,2026-08-10T14:18:15.103695+00:00,3.2.0,5.911773508299721,2.1467938191051488,3,9,Medium,38,25000,22.4,92.0,1.0,1.0,1.0,4.0,2026-08-11T04:10:33.619276+00:00,0.85892,0.8390096719461149,0.72236,0.7005130139054134,0.55196,0.5372958905722548,0.3796,0.3769581786150257,0.23484,0.2419115948863369,0.1324,0.1423563173372744,0.06684,0.0771008166845974,0.0308,0.0385940446344945,
