Game_Date,Pitcher,Pitcher_ID,Team,Opponent,Projection,Actual_K,K_Residual,Beat_Projection,Material_Crusher_Event,Confidence,Data_Quality,Opponent_K_Pct,Lineup_State,Starter_Role,Leash_Label,SIM_Mean_K,MATH_Mean_K,SIM_MATH_Disagreement,Projection_SD,Report_Only,Production_Authority,No_Projection_Adjustment,Research_Version
2026-08-13,Payton Tolle,801139,BOS,TOR,5.411665879736916,4.0,-1.4116658797369164,False,False,HIGH,72,20.980292531640828,CONFIRMED,ESTABLISHED,NORMAL,,,,2.583060404298091,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-13,Max Scherzer,453286,TOR,BOS,4.002706076813793,4.0,-0.0027060768137934232,False,False,HIGH,70,20.724048762467675,PROJECTED_OR_UNKNOWN,UNKNOWN,TIGHT,,,,2.244463311311244,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-13,Kevin Gausman,592332,CHC,WSH,5.1805625411540674,7.0,1.8194374588459326,True,False,HIGH,70,20.10723860589812,PROJECTED_OR_UNKNOWN,UNKNOWN,NORMAL,,,,2.300745953965036,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-13,Cade Cavalli,676917,WSH,CHC,5.284261858257167,10.0,4.715738141742833,True,True,HIGH,70,21.610169491525426,PROJECTED_OR_UNKNOWN,UNKNOWN,NORMAL,,,,2.712117857787707,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-13,Aaron Nola,605400,PHI,MIN,5.058942410672682,9.0,3.9410575893273183,True,True,HIGH,79,20.521429865001327,CONFIRMED,ESTABLISHED,NORMAL,,,,1.9107737516084424,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-13,Taj Bradley,671737,MIN,PHI,5.521771862741471,3.0,-2.5217718627414714,False,False,HIGH,78,19.97362411884104,CONFIRMED,ESTABLISHED,NORMAL,,,,2.3542016445281653,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-13,Jacob deGrom,594798,TEX,LAA,5.515084930170935,3.0,-2.515084930170935,False,False,HIGH,77,22.25872780507947,CONFIRMED,ESTABLISHED,NORMAL,,,,2.218397781099001,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-13,Walbert Ureña,700712,LAA,TEX,4.713297608881091,5.0,0.28670239111890883,True,False,HIGH,72,22.51886854059686,CONFIRMED,ESTABLISHED,TIGHT,,,,1.8770889319673536,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-13,Shane Drohan,675660,MIL,LAD,5.09499132605994,5.0,-0.0949913260599402,False,False,HIGH,64,20.67927960976489,CONFIRMED,ESTABLISHED,NORMAL,,,,2.1230490710990013,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-13,Roki Sasaki,808963,LAD,MIL,5.157072926337631,2.0,-3.157072926337631,False,False,HIGH,74,22.323435361122325,CONFIRMED,ESTABLISHED,NORMAL,,,,2.080127260357413,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,Matthew Liberatore,669461,STL,CHC,4.807385909419322,6.0,1.192614090580678,True,False,HIGH,78,22.15184456831837,CONFIRMED,ESTABLISHED,NORMAL,,,,2.2077415449922286,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,Clay Holmes,605280,CHC,STL,4.24889813214706,3.0,-1.24889813214706,False,False,HIGH,79,19.97288901159887,CONFIRMED,ESTABLISHED,NORMAL,,,,1.8044083436697127,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,Sandy Alcantara,645261,MIA,CIN,5.969322268750199,2.0,-3.969322268750199,False,False,HIGH,79,25.52687178603017,CONFIRMED,ESTABLISHED,LONG,,,,2.050326584318726,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,Chase Burns,695505,CIN,MIA,5.558449164509395,8.0,2.441550835490605,True,True,HIGH,77,21.79597160509253,CONFIRMED,ESTABLISHED,NORMAL,,,,2.312426190777883,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,Jake Bennett,687562,BOS,PIT,5.136651373886729,6.0,0.8633486261132708,True,False,HIGH,64,22.93411645468545,CONFIRMED,ESTABLISHED,NORMAL,,,,1.988504879869872,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,Bubba Chandler,696149,PIT,BOS,4.53317940662322,5.0,0.46682059337677995,True,False,HIGH,77,20.207919121438696,CONFIRMED,ESTABLISHED,NORMAL,,,,2.1009933495490807,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,Sean Newcomb,656794,CHW,DET,4.293658542998768,2.0,-2.2936585429987684,False,False,MEDIUM,53,22.464061154188627,CONFIRMED,ESTABLISHED,TIGHT,,,,1.921817807844298,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,Jackson Jobe,695549,DET,CHW,4.509072904569642,4.0,-0.509072904569642,False,False,HIGH,60,23.167521097812813,CONFIRMED,ESTABLISHED,NORMAL,,,,1.7446642727498352,True,NONE,True,projection-crusher-shadow-v1-report-only
2026-08-14,Andrew Alvarez,674841,WSH,NYM,4.411414403822503,4.0,-0.41141440382250316,False,False,HIGH,65,22.29864514301804,CONFIRMED,ESTABLISHED,TIGHT,,,,1.674950426341056,True,NONE,True,projection-crusher-shadow-v1-report-only
